# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003741.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003741.1.all.q/CM03_F_S_S5/counts.txt" "/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup.bam" "/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup_F_plus_R.bam" "/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup_WO.bam" "/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup.bam	/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup_F_plus_R.bam	/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup_WO.bam	/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted.bam
Tb927.4.4410	Tb927_04_v5.1	1168174	1171942	-	3769	4092	3209	883	6818
Tb927.4.4420	Tb927_04_v5.1	1173039	1176786	-	3748	3668	2996	672	8584
Tb927.4.4430	Tb927_04_v5.1	1177720	1182026	-	4307	4035	3179	856	7212
Tb927.4.4440	Tb927_04_v5.1	1182723	1186889	-	4167	4685	3661	1024	7446
Tb927.4.4450	Tb927_04_v5.1	1187586	1191740	-	4155	3901	3271	630	8238
Tb927.4.4460	Tb927_04_v5.1	1191876	1196165	-	4290	5002	3971	1031	8891
Tb927.4.4470	Tb927_04_v5.1	1196301	1200167	-	3867	4125	2790	1335	20144
Tb927.4.4480	Tb927_04_v5.1	1200168	1206803	-	6636	2838	2270	568	12714
Tb927.4.4490	Tb927_04_v5.1	1206978	1214601	-	7624	3564	2732	832	5745
Tb4.NT.45	Tb927_04_v5.1	1214711	1215081	-	371	293	242	51	661
Tb927.4.4500	Tb927_04_v5.1	1216621	1220225	-	3605	1951	1346	605	3946
Tb927.4.4510	Tb927_04_v5.1	1220635	1229863	-	9229	3528	2955	573	10302
Tb927.4.4520	Tb927_04_v5.1	1234865	1240844	-	5980	1425	1093	332	2961
Tb927.4.4530	Tb927_04_v5.1	1242979	1247033	-	4055	616	511	105	2114
Tb927.4.4540	Tb927_04_v5.1	1247343	1248518	-	1176	742	569	173	1338
Tb927.4.4550	Tb927_04_v5.1	1249312	1254141	-	4830	992	825	167	4590
Tb927.4.4560	Tb927_04_v5.1	1253540	1258299	-	4760	1166	883	283	3276
Tb927.4.4570	Tb927_04_v5.1	1258606	1263089	-	4484	770	621	149	1605
Tb927.4.4580	Tb927_04_v5.1	1264341	1269687	-	5347	2860	2395	465	7255
Tb927.4.4590	Tb927_04_v5.1	1272178	1274130	-	1953	1082	858	224	1890
Tb927.4.4600	Tb927_04_v5.1	1274621	1275499	-	879	849	627	222	2410
Tb927.4.4610	Tb927_04_v5.1	1275707	1276747	-	1041	607	485	122	1138
Tb927.4.4620	Tb927_04_v5.1	1276885	1277847	-	963	207	196	11	1675
Tb927.4.4630	Tb927_04_v5.1	1277969	1278494	-	526	89	63	26	250
Tb927.4.4640	Tb927_04_v5.1	1278628	1279252	-	625	173	146	27	923
Tb927.4.4650	Tb927_04_v5.1	1279381	1280242	-	862	153	92	61	203
Tb927.4.4660	Tb927_04_v5.1	1280353	1280954	-	602	430	326	104	900
Tb927.4.4663	Tb927_04_v5.1	1287302	1287374	-	73	103	39	64	129
Tb927.4.4666	Tb927_04_v5.1	1287445	1287517	-	73	125	105	20	167
Tb927.4.4670	Tb927_04_v5.1	1289622	1291084	-	1463	462	389	73	1447
Tb927.4.4680	Tb927_04_v5.1	1291232	1291900	-	669	1144	842	302	1711
Tb927.4.4690	Tb927_04_v5.1	1292148	1293256	-	1109	627	469	158	1835
Tb927.4.4700	Tb927_04_v5.1	1293405	1294824	-	1420	676	491	185	1726
Tb927.4.4710	Tb927_04_v5.1	1294990	1298146	-	3157	3059	2343	716	6345
Tb927.4.4720	Tb927_04_v5.1	1298273	1299944	-	1672	1078	896	182	3082
Tb927.4.4730	Tb927_04_v5.1	1300113	1302454	-	2342	543	403	140	5084
Tb927.4.4740	Tb927_04_v5.1	1303574	1304990	-	1417	1494	1343	151	3824
Tb927.4.4750	Tb927_04_v5.1	1305346	1306702	-	1357	615	494	121	801
Tb927.4.4760	Tb927_04_v5.1	1306838	1310036	-	3199	1857	1624	233	5745
Tb927.4.4770	Tb927_04_v5.1	1310579	1311615	-	1037	481	356	125	2138
Tb927.4.4780	Tb927_04_v5.1	1311723	1312942	-	1220	41	38	3	280
Tb04.3I12.100	Tb927_04_v5.1	1312814	1313406	-	593	1	0	1	1
Tb927.4.4790	Tb927_04_v5.1	1313424	1314384	-	961	1	1	0	1
Tb927.4.4810	Tb927_04_v5.1	1314540	1316221	-	1682	99	93	6	1470
Tb927.4.4815	Tb927_04_v5.1	1316362	1317603	-	1242	55	43	12	331
Tb927.4.4820	Tb927_04_v5.1	1319221	1320682	-	1462	553	458	95	1018
Tb927.4.4830	Tb927_04_v5.1	1321321	1322748	-	1428	1707	1524	183	3179
Tb927.4.4840	Tb927_04_v5.1	1323210	1324671	-	1462	563	496	67	1745
Tb927.4.4850	Tb927_04_v5.1	1325309	1326736	-	1428	1630	1458	172	3094
Tb927.4.4860	Tb927_04_v5.1	1326906	1328659	-	1754	1400	910	490	5316
Tb927.4.4870	Tb927_04_v5.1	1329191	1330621	-	1431	2203	1921	282	3956
Tb927.4.4880	Tb927_04_v5.1	1331633	1336893	-	5261	3039	1729	1310	7134
Tb927.4.4890	Tb927_04_v5.1	1337639	1339286	-	1648	1234	1129	105	4380
Tb927.4.4900	Tb927_04_v5.1	1340863	1343634	-	2772	979	632	347	1425
Tb927.4.4910	Tb927_04_v5.1;Tb927_04_v5.1	1343783;1343783	1345402;1346290	-;-	2508	1234	973	261	1985
Tb927.4.4920	Tb927_04_v5.1	1347200	1347995	-	796	390	296	94	1550
Tb927.4.4930	Tb927_04_v5.1	1348280	1352965	-	4686	2372	1957	415	5263
Tb927.4.4940	Tb927_04_v5.1	1354238	1358289	-	4052	846	599	247	3042
Tb927.4.4950	Tb927_04_v5.1	1358410	1360379	-	1970	2316	1561	755	7231
Tb927.4.4960	Tb927_04_v5.1	1361420	1363108	-	1689	720	558	162	2642
Tb927.4.4970	Tb927_04_v5.1	1363604	1365677	-	2074	375	281	94	581
Tb927.4.4980	Tb927_04_v5.1	1365845	1366528	-	684	567	410	157	802
Tb927.4.4990	Tb927_04_v5.1	1367290	1367585	-	296	210	9	201	213
Tb927.4.5000	Tb927_04_v5.1	1367542	1370862	-	3321	326	290	36	981
Tb927.4.5010	Tb927_04_v5.1	1371683	1373325	-	1643	1138	934	204	2139
Tb927.4.5020	Tb927_04_v5.1	1373562	1379324	-	5763	806	707	99	3558
Tb927.4.5030	Tb927_04_v5.1	1380128	1381610	-	1483	647	592	55	1195
Tb927.4.5040	Tb927_04_v5.1	1381738	1384131	-	2394	400	309	91	2333
Tb927.4.5050	Tb927_04_v5.1	1384654	1386528	-	1875	686	527	159	1976
Tb927.4.5060	Tb927_04_v5.1	1387650	1388760	-	1111	337	290	47	2882
Tb927.4.5070	Tb927_04_v5.1	1389310	1390763	-	1454	894	736	158	7279
Tb4.NT.58	Tb927_04_v5.1	1392532	1393212	-	681	469	415	54	1112
Tb927.4.5080	Tb927_04_v5.1	1393347	1393861	-	515	106	73	33	116
Tb927.4.5090	Tb927_04_v5.1	1394057	1396626	-	2570	1639	1472	167	7010
Tb927.4.5100	Tb927_04_v5.1	1396876	1398262	-	1387	1360	1187	173	2660
Tb927.4.5110	Tb927_04_v5.1	1398435	1400164	-	1730	192	182	10	402
Tb927.4.5120	Tb927_04_v5.1	1400822	1404963	-	4142	1704	1365	339	2999
Tb927.4.5130	Tb927_04_v5.1	1405978	1406822	-	845	486	465	21	2949
Tb927.4.5140	Tb927_04_v5.1	1408272	1409485	-	1214	88	55	33	97
Tb927.4.5150	Tb927_04_v5.1	1409124	1411178	-	2055	294	256	38	429
Tb927.4.5160	Tb927_04_v5.1	1411913	1413009	-	1097	136	130	6	460
Tb927.4.5170	Tb927_04_v5.1	1412916	1413863	-	948	187	145	42	666
Tb927.4.5180	Tb927_04_v5.1	1413988	1416364	-	2377	1079	888	191	2501
Tb927.4.5190	Tb927_04_v5.1	1416514	1418211	-	1698	1817	1577	240	10807
Tb927.4.5200	Tb927_04_v5.1	1418353	1420384	-	2032	180	156	24	540
Tb927.4.5210	Tb927_04_v5.1	1420657	1421100	-	444	52	16	36	268
Tb927.4.5220	Tb927_04_v5.1	1421138	1422622	-	1485	302	271	31	643
Tb927.4.5230	Tb927_04_v5.1	1422971	1423747	-	777	405	378	27	1403
Tb927.4.5240	Tb927_04_v5.1	1423974	1426480	-	2507	2067	1739	328	6761
Tb927.4.5250	Tb927_04_v5.1	1427035	1428239	-	1205	1515	1095	420	2648
Tb927.4.5260	Tb927_04_v5.1	1428345	1429998	-	1654	1366	1110	256	2021
Tb927.4.5270	Tb927_04_v5.1	1430553	1431757	-	1205	1324	1063	261	1852
Tb927.4.5280	Tb927_04_v5.1	1432312	1433516	-	1205	1805	1408	397	4475
Tb927.4.5290	Tb927_04_v5.1	1433622	1435275	-	1654	1812	1389	423	3006
Tb927.4.5300	Tb927_04_v5.1	1435830	1438027	-	2198	1656	1210	446	2064
Tb927.4.5310	Tb927_04_v5.1	1437438	1443654	-	6217	2255	1731	524	6622
Tb927.4.5320	Tb927_04_v5.1	1443851	1446888	-	3038	2838	2074	764	6427
Tb927.4.5330	Tb927_04_v5.1	1447115	1451186	-	4072	1596	817	779	1917
Tb927.4.5335	Tb927_04_v5.1	1451305	1452615	-	1311	676	496	180	997
Tb927.4.5340	Tb927_04_v5.1	1452906	1455930	-	3025	1236	874	362	12009
Tb927.4.5350	Tb927_04_v5.1	1456393	1458431	-	2039	566	425	141	1755
Tb04.24M18.150	Tb927_04_v5.1	1458621	1459109	-	489	100	94	6	180
Tb927.4.5360	Tb927_04_v5.1	1459247	1459779	-	533	119	85	34	139
Tb927.4.5370	Tb927_04_v5.1	1459899	1460471	-	573	452	225	227	1153
Tb927.4.5380	Tb927_04_v5.1	1460755	1465168	-	4414	310	282	28	758
Tb927.4.5390	Tb927_04_v5.1	1465382	1467499	-	2118	429	320	109	923
Tb927.4.5400	Tb927_04_v5.1	1476953	1478559	+	1607	403	242	161	573
Tb927.4.5410	Tb927_04_v5.1	1479708	1481306	+	1599	624	603	21	1001
Tb927.4.5420	Tb927_04_v5.1	1482455	1484053	+	1599	532	505	27	884
Tb927.4.5430	Tb927_04_v5.1	1484544	1486768	+	2225	320	286	34	779
Tb927.4.5440	Tb927_04_v5.1	1488146	1488889	-	744	433	347	86	890
Tb927.4.5450	Tb927_04_v5.1	1490132	1491605	-	1474	328	297	31	563
Tb927.4.5460	Tb927_04_v5.1	1492577	1494341	-	1765	5	4	1	75
Tb927.4.5470	Tb927_04_v5.1	1496383	1497956	-	1574	82	71	11	492
Tb927.4.5480	Tb927_04_v5.1	1498235	1499998	-	1764	501	438	63	1030
Tb927.4.5490	Tb927_04_v5.1	1500251	1500568	-	318	12	11	1	698
Tb927.4.5500	Tb927_04_v5.1	1501215	1502784	-	1570	315	244	71	400
Tb927.4.5510	Tb927_04_v5.1	1504441	1506038	-	1598	774	693	81	1317
Tb927.4.5520	Tb927_04_v5.1	1506174	1507298	-	1125	572	341	231	727
Tb927.4.5530	Tb927_04_v5.1	1508151	1511737	-	3587	154	117	37	492
Tb927.4.5540	Tb927_04_v5.1	1512175	1513571	-	1397	47	9	38	48
Tb927.4.5550	Tb927_04_v5.1	1514639	1515582	-	944	966	598	368	2144
Tb927.4.5560	Tb927_04_v5.1	1515810	1517375	-	1566	251	192	59	669
Tb927.4.5570	Tb927_04_v5.1	1518959	1520522	-	1564	721	597	124	948
Tb927.4.5580	Tb927_04_v5.1	1521320	1522806	-	1487	176	86	90	188
Tb927.4.5590	Tb927_04_v5.1	1524946	1526398	-	1453	880	702	178	3106
Tb927.4.5600	Tb927_04_v5.1	1527695	1529229	-	1535	227	203	24	376
Tb927.4.5610	Tb927_04_v5.1	1532086	1533755	-	1670	583	496	87	1102
Tb927.4.5620	Tb927_04_v5.1	1535780	1537334	-	1555	485	422	63	1005
Tb927.4.5630	Tb927_04_v5.1	1540313	1540702	-	390	8	3	5	67
Tb927.4.5640	Tb927_04_v5.1	1541469	1543349	-	1881	131	113	18	173
Tb927.4.5650	Tb927_04_v5.1	1545164	1546715	-	1552	29	11	18	31
Tb927.4.5660	Tb927_04_v5.1	1547066	1548172	-	1107	304	273	31	1325
Tb927.4.5670	Tb927_04_v5.1	1549387	1550738	-	1352	426	391	35	859
Tb927.4.5680	Tb927_04_v5.1	1556996	1558722	-	1727	57	51	6	551
Tb927.4.5690	Tb927_04_v5.1	1561085	1563140	-	2056	775	676	99	1625
Tb927.4.5700	Tb927_04_v5.1	1564788	1566218	-	1431	26	4	22	28
Tb927.4.5710	Tb927_04_v5.1	1568308	1570071	-	1764	283	224	59	389
Tb927.4.5720	Tb927_04_v5.1	1571710	1573164	-	1455	98	79	19	194
Tb927.4.5730	Tb927_04_v5.1	1573675	1576668	-	2994	555	367	188	1110
Tb927.4.5740	Tb927_04_v5.1	1578376	1579793	-	1418	465	372	93	587
Tb927.4.5750	Tb927_04_v5.1	1580959	1581696	-	738	45	40	5	59
Tb927.4.5760	Tb927_04_v5.1	1581995	1584005	-	2011	372	325	47	1204
Tb927.4.5770	Tb927_04_v5.1	1584196	1585161	-	966	286	156	130	497
Tb927.4.5780	Tb927_04_v5.1	1585925	1587516	-	1592	283	270	13	796
Tb927.4.5790	Tb927_04_v5.1	1587750	1588619	-	870	493	310	183	1217
Tb927.4.5800	Tb927_04_v5.1	1589863	1590261	-	399	48	45	3	65
Tb927.5.100	Tb927_05_v5.1	965	1855	-	891	31	30	1	37
Tb927.5.110	Tb927_05_v5.1	2864	5535	-	2672	926	703	223	1664
Tb927.5.120	Tb927_05_v5.1	10959	13012	-	2054	449	389	60	742
Tb927.5.130	Tb927_05_v5.1	14812	15868	-	1057	10	10	0	10
Tb927.5.140	Tb927_05_v5.1	17942	18610	+	669	440	306	134	947
Tb927.5.150	Tb927_05_v5.1	25822	27510	+	1689	452	347	105	592
Tb927.5.160	Tb927_05_v5.1	28637	30332	+	1696	382	322	60	1200
Tb927.5.170	Tb927_05_v5.1	31668	32545	-	878	439	338	101	934
Tb927.5.180	Tb927_05_v5.1	32470	37755	+	5286	2429	1757	672	3232
Tb927.5.190	Tb927_05_v5.1	39520	40955	+	1436	112	82	30	117
Tb927.5.200	Tb927_05_v5.1	42813	44295	+	1483	509	403	106	694
Tb927.5.210	Tb927_05_v5.1	45070	46062	+	993	62	47	15	628
Tb927.5.220	Tb927_05_v5.1	46534	48165	+	1632	356	255	101	671
Tb927.5.230	Tb927_05_v5.1	50401	51924	+	1524	91	70	21	100
Tb927.5.240	Tb927_05_v5.1	53876	56087	+	2212	428	346	82	953
Tb927.5.250	Tb927_05_v5.1	56453	56635	+	183	3	2	1	3
Tb927.5.260	Tb927_05_v5.1	57471	58538	+	1068	12	5	7	12
Tb927.5.270	Tb927_05_v5.1	58707	59811	+	1105	1114	759	355	2161
Tb927.5.280	Tb927_05_v5.1	61570	66103	-	4534	3328	2587	741	5108
Tb927.5.290	Tb927_05_v5.1	68504	72475	+	3972	1259	1033	226	2147
Tb927.5.300	Tb927_05_v5.1	72065	73731	-	1667	299	241	58	580
Tb927.5.310	Tb927_05_v5.1	73870	77501	-	3632	1339	1158	181	2751
Tb927.5.285b	Tb927_05_v5.1	79856	83600	-	3745	1460	1102	358	3184
Tb927.5.286b	Tb927_05_v5.1	87259	90874	-	3616	754	611	143	2712
Tb927.5.287b	Tb927_05_v5.1	92029	93460	-	1432	341	288	53	606
Tb927.5.288b	Tb927_05_v5.1	94008	96753	-	2746	1663	1260	403	2734
Tb927.5.289b	Tb927_05_v5.1	102825	103496	-	672	195	182	13	612
Tb927.5.291b	Tb927_05_v5.1	105006	106031	+	1026	742	577	165	1633
Tb927.5.292b	Tb927_05_v5.1	107153	107907	+	755	457	278	179	742
Tb927.5.293b	Tb927_05_v5.1	109438	113087	+	3650	2245	1943	302	6881
Tb927.5.294b	Tb927_05_v5.1	114232	114693	-	462	403	377	26	2386
Tb927.5.295b	Tb927_05_v5.1	117599	120113	+	2515	1212	1012	200	2003
Tb927.5.296b	Tb927_05_v5.1	120577	121891	+	1315	1123	828	295	2570
Tb927.5.297b	Tb927_05_v5.1	122373	129558	+	7186	4993	4309	684	10005
Tb927.5.300b	Tb927_05_v5.1	129147	130813	-	1667	409	345	64	797
Tb927.5.309b	Tb927_05_v5.1	131153	134601	-	3449	621	549	72	1321
Tb927.5.320	Tb927_05_v5.1	136349	140696	-	4348	1264	912	352	2386
Tb927.5.330	Tb927_05_v5.1	141212	146017	-	4806	2748	1698	1050	4313
Tb927.5.340	Tb927_05_v5.1	154642	156905	+	2264	219	193	26	372
Tb927.5.350	Tb927_05_v5.1	156672	163234	-	6563	1594	1323	271	3195
Tb927.5.360	Tb927_05_v5.1	163362	165396	-	2035	1280	1086	194	2439
Tb927.5.370	Tb927_05_v5.1	165524	167564	-	2041	246	196	50	452
Tb927.5.380	Tb927_05_v5.1	167692	169758	-	2067	469	406	63	2414
Tb927.5.390	Tb927_05_v5.1	177115	180454	+	3340	1232	948	284	5670
Tb927.5.400	Tb927_05_v5.1	180582	186103	+	5522	1446	1181	265	3498
Tb927.5.410	Tb927_05_v5.1	186374	187731	-	1358	949	762	187	1180
Tb927.5.420	Tb927_05_v5.1	187646	189275	-	1630	543	464	79	1689
Tb927.5.430	Tb927_05_v5.1	190259	191425	-	1167	488	246	242	706
Tb927.5.440	Tb927_05_v5.1	191706	194549	-	2844	910	798	112	2033
Tb927.5.445	Tb927_05_v5.1	195468	195539	-	72	0	0	0	0
Tb927.5.450	Tb927_05_v5.1	196546	198750	-	2205	703	633	70	3541
Tb927.5.460	Tb927_05_v5.1	198569	200156	-	1588	17	11	6	23
Tb927.5.470	Tb927_05_v5.1	202055	204725	-	2671	687	597	90	1615
Tb927.5.480	Tb927_05_v5.1	205146	207802	-	2657	150	144	6	955
Tb927.5.490	Tb927_05_v5.1	208089	211778	-	3690	1924	1351	573	3195
Tb927.5.500	Tb927_05_v5.1	212561	217492	-	4932	1526	1211	315	2778
Tb927.5.510	Tb927_05_v5.1	217645	219775	-	2131	919	674	245	1134
Tb927.5.520	Tb927_05_v5.1	221372	223656	-	2285	1447	1073	374	3218
Tb927.5.530	Tb927_05_v5.1	223790	226522	-	2733	1578	1174	404	3115
Tb927.5.540	Tb927_05_v5.1	226524	227593	-	1070	486	353	133	1232
Tb927.5.550	Tb927_05_v5.1	228316	229739	-	1424	1119	844	275	2473
Tb927.5.560	Tb927_05_v5.1	230010	231684	-	1675	1210	1026	184	1699
Tb927.5.570	Tb927_05_v5.1	231526	239193	-	7668	2673	2373	300	10159
Tb927.5.580	Tb927_05_v5.1	239313	239915	-	603	492	421	71	900
Tb927.5.590	Tb927_05_v5.1	240040	241419	-	1380	446	246	200	612
Tb927.5.600	Tb927_05_v5.1	241529	242029	-	501	85	67	18	1386
Tb927.5.610	Tb927_05_v5.1	242180	261859	-	19680	26959	20385	6574	45671
Tb5.NT.17	Tb927_05_v5.1	261987	262509	-	523	468	350	118	1516
Tb927.5.620	Tb927_05_v5.1	263378	265042	-	1665	151	128	23	438
Tb927.5.630	Tb927_05_v5.1	265196	267524	-	2329	754	536	218	2519
Tb927.5.640	Tb927_05_v5.1	274459	280584	+	6126	2618	1917	701	5303
Tb927.5.650	Tb927_05_v5.1	280065	286507	+	6443	3196	2586	610	11080
Tb927.5.660	Tb927_05_v5.1;Tb927_05_v5.1	285655;287122	288980;288980	+;+	3326	878	784	94	2522
Tb05.30F7.410	Tb927_05_v5.1	288984	293087	-	4104	1666	1208	458	6011
Tb927.5.670	Tb927_05_v5.1	295027	297952	+	2926	485	370	115	646
Tb927.5.680	Tb927_05_v5.1;Tb927_05_v5.1	298127;299164	300159;300159	+;+	2033	770	533	237	1899
Tb927.5.690	Tb927_05_v5.1	300183	302102	+	1920	894	813	81	3297
Tb927.5.700	Tb927_05_v5.1	302214	305828	+	3615	1317	912	405	3173
Tb927.5.710	Tb927_05_v5.1	305231	308847	+	3617	1055	689	366	2851
Tb927.5.720	Tb927_05_v5.1	309294	310263	+	970	608	543	65	1847
Tb927.5.730	Tb927_05_v5.1	310397	311911	+	1515	873	722	151	2331
Tb927.5.740	Tb927_05_v5.1	312087	313266	+	1180	873	716	157	2751
Tb927.5.750	Tb927_05_v5.1	313451	314104	+	654	257	199	58	458
Tb927.5.760	Tb927_05_v5.1	314574	320641	+	6068	3139	2536	603	10532
Tb927.5.770	Tb927_05_v5.1	320668	322891	+	2224	1743	1419	324	4953
Tb927.5.780	Tb927_05_v5.1	323412	325372	+	1961	1045	857	188	2160
Tb927.5.790	Tb927_05_v5.1	325593	329197	+	3605	536	470	66	4680
Tb927.5.800	Tb927_05_v5.1	329107	330831	+	1725	374	352	22	5029
Tb927.5.810	Tb927_05_v5.1	334792	339703	+	4912	296	243	53	1017
Tb927.5.820	Tb927_05_v5.1	338401	341846	+	3446	302	252	50	1941
Tb927.5.830	Tb927_05_v5.1	341968	343784	+	1817	1364	1118	246	4549
Tb927.5.840	Tb927_05_v5.1	344639	347962	+	3324	653	519	134	792
Tb927.5.850	Tb927_05_v5.1	348137	350985	+	2849	1047	905	142	3976
Tb927.5.860	Tb927_05_v5.1	351110	352719	+	1610	1299	803	496	2951
Tb927.5.890	Tb927_05_v5.1	354037	356882	+	2846	982	769	213	2201
Tb927.5.900	Tb927_05_v5.1	357337	359944	+	2608	1083	938	145	2423
Tb927.5.910	Tb927_05_v5.1	360637	364259	+	3623	1943	1645	298	3697
Tb927.5.920	Tb927_05_v5.1	364364	365775	+	1412	831	678	153	1920
Tb927.5.930	Tb927_05_v5.1	366090	371224	+	5135	1689	1395	294	6061
Tb927.5.940	Tb927_05_v5.1	371396	374089	+	2694	1344	1081	263	3893
Tb927.5.950	Tb927_05_v5.1	377913	378712	+	800	281	155	126	606
Tb927.5.960	Tb927_05_v5.1	380153	381213	+	1061	439	360	79	1260
Tb927.5.970	Tb927_05_v5.1	381317	382040	+	724	968	769	199	1462
Tb927.5.980	Tb927_05_v5.1	382105	383031	+	927	939	510	429	1331
Tb927.5.990	Tb927_05_v5.1	383432	384064	+	633	20	19	1	287
Tb927.5.1000	Tb927_05_v5.1	385212	386972	+	1761	241	222	19	616
Tb927.5.1010	Tb927_05_v5.1	387489	392109	+	4621	2126	1800	326	5808
Tb927.5.1020	Tb927_05_v5.1	392231	394417	+	2187	768	514	254	1403
Tb927.5.1030	Tb927_05_v5.1	394565	395367	+	803	232	180	52	288
Tb927.5.1040	Tb927_05_v5.1	395825	396552	+	728	45	22	23	310
Tb927.5.1050	Tb927_05_v5.1	396939	400358	+	3420	1043	883	160	2841
Tb927.5.1060	Tb927_05_v5.1	399870	403063	+	3194	1409	1047	362	2811
Tb927.5.1070	Tb927_05_v5.1	403216	406204	+	2989	1241	899	342	3754
Tb927.5.1080	Tb927_05_v5.1	407825	409323	+	1499	17	14	3	156
Tb927.5.1090	Tb927_05_v5.1	409673	412112	+	2440	645	525	120	1666
Tb927.5.1100	Tb927_05_v5.1	415318	417451	+	2134	318	298	20	1007
Tb927.5.1110	Tb927_05_v5.1	419336	420769	+	1434	131	112	19	285
Tb927.5.1120	Tb927_05_v5.1	420947	441076	+	20130	15609	12683	2926	32582
Tb927.5.1130	Tb927_05_v5.1	441244	444783	+	3540	800	746	54	2946
Tb927.5.1140	Tb927_05_v5.1	445150	447101	+	1952	2265	1480	785	13845
Tb927.5.1145	Tb927_05_v5.1	449004	450012	+	1009	1145	522	623	3028
Tb927.5.1150	Tb927_05_v5.1	450167	452606	+	2440	983	802	181	2182
Tb927.5.1160	Tb927_05_v5.1	452747	453583	+	837	364	143	221	399
Tb5.NT.35	Tb927_05_v5.1	454607	455242	+	636	697	495	202	1779
Tb927.5.1170	Tb927_05_v5.1	455354	455956	+	603	254	203	51	289
Tb927.5.1180	Tb927_05_v5.1	456310	459055	+	2746	1591	1262	329	2873
Tb927.5.1200	Tb927_05_v5.1	460201	461827	+	1627	622	560	62	3549
Tb927.5.1210	Tb927_05_v5.1	461801	463732	+	1932	716	598	118	1279
Tb927.5.1220	Tb927_05_v5.1	464258	465227	+	970	174	165	9	1014
Tb927.5.1230	Tb927_05_v5.1	465363	467604	+	2242	458	346	112	1514
Tb927.5.1240	Tb927_05_v5.1	468202	469516	+	1315	568	329	239	1302
Tb927.5.1250	Tb927_05_v5.1	469672	472184	+	2513	1185	854	331	2242
Tb927.5.1260	Tb927_05_v5.1	472304	476079	+	3776	974	789	185	4022
Tb927.5.1270	Tb927_05_v5.1	476769	477768	+	1000	1104	815	289	2368
Tb927.5.1280	Tb927_05_v5.1	477919	478788	+	870	519	328	191	669
Tb927.5.1290	Tb927_05_v5.1	479324	480781	+	1458	963	689	274	1979
Tb927.5.1300	Tb927_05_v5.1	481542	484043	+	2502	1671	1452	219	5975
Tb927.5.1310	Tb927_05_v5.1	484892	486044	+	1153	1086	800	286	3065
Tb927.5.1320	Tb927_05_v5.1	487419	490066	+	2648	980	871	109	2634
Tb927.5.1330	Tb927_05_v5.1	490231	493354	+	3124	1587	1059	528	4140
Tb927.5.1340	Tb927_05_v5.1	493679	496303	+	2625	418	366	52	3453
Tb927.5.1350	Tb927_05_v5.1	496432	498141	+	1710	803	666	137	2173
Tb927.5.1360	Tb927_05_v5.1	498288	499623	+	1336	1017	794	223	1746
Tb927.5.1370	Tb927_05_v5.1	499824	500612	+	789	453	398	55	1213
Tb927.5.1380	Tb927_05_v5.1	501083	502588	+	1506	145	122	23	1354
Tb927.5.1390	Tb927_05_v5.1	505659	507016	-	1358	395	347	48	604
Tb927.5.1400	Tb927_05_v5.1	507402	508174	-	773	200	149	51	488
Tb927.5.1410	Tb927_05_v5.1	508589	509949	-	1361	669	350	319	896
Tb927.5.1420	Tb927_05_v5.1	510341	511113	-	773	446	358	88	1018
Tb927.5.1430	Tb927_05_v5.1	511528	512891	-	1364	553	442	111	1728
Tb927.5.1440	Tb927_05_v5.1	513285	514204	-	920	768	535	233	1343
Tb927.5.1450	Tb927_05_v5.1	516166	520286	-	4121	1472	1154	318	7691
Tb927.5.1460	Tb927_05_v5.1	520969	522614	-	1646	732	680	52	1834
Tb927.5.1470	Tb927_05_v5.1	522981	524982	-	2002	1118	855	263	2498
Tb927.5.1480	Tb927_05_v5.1	525222	527447	-	2226	663	581	82	1742
Tb927.5.1490	Tb927_05_v5.1	527474	531803	-	4330	832	629	203	1945
Tb927.5.1500	Tb927_05_v5.1;Tb927_05_v5.1	531979;531979	534701;533947	-;-	2723	397	331	66	838
Tb927.5.1510	Tb927_05_v5.1	534219	535930	-	1712	247	170	77	574
Tb927.5.1520	Tb927_05_v5.1	536262	539010	-	2749	1416	1175	241	4687
Tb927.5.1530	Tb927_05_v5.1	539207	541060	-	1854	928	747	181	2254
Tb927.5.1540	Tb927_05_v5.1	540972	543465	-	2494	1326	1186	140	2796
Tb927.5.1550	Tb927_05_v5.1	543987	545810	-	1824	878	769	109	1611
Tb927.5.1560	Tb927_05_v5.1	545972	548567	-	2596	1577	1015	562	2384
Tb927.5.1570	Tb927_05_v5.1	548837	552161	-	3325	715	506	209	1496
Tb927.5.1580	Tb927_05_v5.1	552260	555599	-	3340	3509	2358	1151	9327
Tb927.5.1590	Tb927_05_v5.1	562241	563224	+	984	192	184	8	2691
