# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003740.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/counts.txt" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup.bam" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup_F_plus_R.bam" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup_WO.bam" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup.bam	/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup_F_plus_R.bam	/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup_WO.bam	/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted.bam
Tb927.7.5440	Tb927_07_v5.1	1462957	1469006	+	6050	2968	2124	844	5955
Tb927.7.5450	Tb927_07_v5.1	1469735	1474285	+	4551	789	540	249	1492
Tb927.7.5460	Tb927_07_v5.1	1474444	1475778	+	1335	243	213	30	1827
Tb927.7.5470	Tb927_07_v5.1	1475950	1478015	+	2066	853	686	167	3408
Tb927.7.5480	Tb927_07_v5.1	1478517	1481246	+	2730	1061	847	214	1769
Tb927.7.5490	Tb927_07_v5.1	1481366	1483365	+	2000	954	683	271	1229
Tb927.7.5500	Tb927_07_v5.1	1483503	1487058	+	3556	1929	1041	888	2571
Tb927.7.5510	Tb927_07_v5.1	1487711	1489218	+	1508	332	228	104	1215
Tb927.7.5520	Tb927_07_v5.1	1489376	1490689	+	1314	826	616	210	2803
Tb927.7.5530	Tb927_07_v5.1	1490808	1492370	+	1563	379	172	207	1222
Tb927.7.5540	Tb927_07_v5.1	1492521	1494822	+	2302	1354	937	417	3556
Tb927.7.5550	Tb927_07_v5.1;Tb927_07_v5.1	1495014;1495386	1496528;1496528	+;+	1515	1326	584	742	2037
Tb927.7.5560	Tb927_07_v5.1	1496839	1500931	+	4093	1235	967	268	2322
Tb927.7.5570	Tb927_07_v5.1	1501047	1502848	+	1802	583	392	191	1706
Tb927.7.5580	Tb927_07_v5.1	1503381	1504530	+	1150	1210	901	309	2273
Tb927.7.5590	Tb927_07_v5.1	1504668	1510444	+	5777	2350	1810	540	4199
Tb927.7.5600	Tb927_07_v5.1	1510638	1514024	+	3387	1113	866	247	2726
Tb7.NT.62	Tb927_07_v5.1	1516315	1516724	+	410	82	74	8	254
Tb927.7.5610	Tb927_07_v5.1	1516783	1520321	+	3539	1214	861	353	2362
Tb927.7.5615	Tb927_07_v5.1	1520449	1520925	+	477	161	144	17	1011
Tb927.7.5620	Tb927_07_v5.1	1521358	1522838	+	1481	502	283	219	881
Tb927.7.5630	Tb927_07_v5.1	1523002	1525102	+	2101	1615	1010	605	2262
Tb927.7.5640	Tb927_07_v5.1	1525510	1526813	+	1304	453	399	54	811
Tb927.7.5650	Tb927_07_v5.1	1526983	1530088	+	3106	790	578	212	1882
Tb927.7.5660	Tb927_07_v5.1	1530262	1532439	+	2178	147	116	31	1440
Tb927.7.5670	Tb927_07_v5.1	1533544	1534984	+	1441	117	42	75	142
Tb927.7.5680	Tb927_07_v5.1	1535124	1536188	+	1065	448	280	168	1102
Tb927.7.5690	Tb927_07_v5.1	1537413	1539416	+	2004	305	192	113	8613
Tb927.7.5700	Tb927_07_v5.1	1540391	1541438	+	1048	984	648	336	1219
Tb927.7.5710	Tb927_07_v5.1	1542108	1543401	+	1294	1110	899	211	3338
Tb927.7.5720	Tb927_07_v5.1	1543585	1544779	+	1195	662	546	116	2091
Tb927.7.5730	Tb927_07_v5.1	1545179	1548046	+	2868	2126	1744	382	3671
Tb927.7.5740	Tb927_07_v5.1	1548216	1549998	+	1783	1164	801	363	3311
Tb927.7.5750	Tb927_07_v5.1	1550176	1553737	+	3562	1114	868	246	3601
Tb927.7.5760	Tb927_07_v5.1	1554131	1554807	+	677	86	62	24	354
Tb927.7.5770	Tb927_07_v5.1	1555531	1557662	+	2132	329	271	58	724
Tb927.7.5780	Tb927_07_v5.1	1560341	1561887	+	1547	1325	1017	308	3568
Tb927.7.5790	Tb927_07_v5.1	1562282	1563816	+	1535	135	119	16	500
Tb927.7.5795	Tb927_07_v5.1	1564490	1566599	+	2110	581	505	76	1340
Tb927.7.5800	Tb927_07_v5.1	1568307	1569432	+	1126	16	11	5	34
Tb927.7.5810	Tb927_07_v5.1	1570164	1571029	+	866	1054	891	163	2810
Tb927.7.5820	Tb927_07_v5.1	1571446	1573382	+	1937	729	624	105	2362
Tb927.7.5830	Tb927_07_v5.1	1573532	1574146	+	615	56	46	10	268
Tb927.7.5840	Tb927_07_v5.1	1574433	1575681	+	1249	700	517	183	1018
Tb927.7.5850	Tb927_07_v5.1	1576252	1578514	+	2263	257	226	31	686
Tb927.7.5860	Tb927_07_v5.1	1578647	1579990	+	1344	87	80	7	160
Tb927.7.5870	Tb927_07_v5.1	1580107	1580933	+	827	129	106	23	138
Tb927.7.5880	Tb927_07_v5.1	1581144	1582407	+	1264	433	404	29	2621
Tb927.7.5890	Tb927_07_v5.1	1582863	1584960	+	2098	2008	1188	820	4666
Tb927.7.5900	Tb927_07_v5.1	1585200	1586783	+	1584	712	529	183	1656
Tb927.7.5910	Tb927_07_v5.1	1586854	1588266	+	1413	1204	630	574	2364
Tb927.7.5920	Tb927_07_v5.1	1588378	1589956	+	1579	1016	706	310	1941
Tb927.7.5930	Tb927_07_v5.1	1590092	1592710	+	2619	761	540	221	2620
Tb927.7.5940	Tb927_07_v5.1	1592849	1595615	+	2767	1052	789	263	1638
Tb927.7.5950	Tb927_07_v5.1	1599147	1601050	+	1904	316	226	90	803
Tb927.7.5960	Tb927_07_v5.1	1602473	1604416	+	1944	1237	978	259	2047
Tb927.7.5970	Tb927_07_v5.1	1605716	1608543	+	2828	1114	793	321	3065
Tb927.7.5980	Tb927_07_v5.1	1608682	1610646	+	1965	1583	1215	368	2874
Tb927.7.5990	Tb927_07_v5.1	1611940	1614755	+	2816	1729	1249	480	4208
Tb927.7.6000	Tb927_07_v5.1	1614894	1616858	+	1965	1790	1294	496	4261
Tb927.7.6010	Tb927_07_v5.1	1617583	1619909	+	2327	666	412	254	1045
Tb927.7.6020	Tb927_07_v5.1	1620711	1621789	+	1079	837	580	257	3359
Tb927.7.6030	Tb927_07_v5.1	1624431	1626189	-	1759	167	54	113	200
Tb927.7.6040	Tb927_07_v5.1	1625243	1630618	-	5376	2573	1906	667	7792
Tb927.7.6050	Tb927_07_v5.1	1630781	1637174	-	6394	3991	3010	981	7976
Tb927.7.6060	Tb927_07_v5.1	1639890	1643734	-	3845	2344	1665	679	4438
Tb927.7.6070	Tb927_07_v5.1	1643896	1652403	-	8508	4765	3675	1090	13885
Tb927.7.6080	Tb927_07_v5.1	1653761	1657305	-	3545	2138	1609	529	5539
Tb927.7.6090	Tb927_07_v5.1	1658831	1661608	-	2778	151	137	14	552
Tb927.7.6100	Tb927_07_v5.1	1661386	1664325	-	2940	693	462	231	1832
Tb927.7.6110	Tb927_07_v5.1	1665485	1666348	-	864	513	323	190	578
Tb927.7.6130	Tb927_07_v5.1	1666990	1667849	-	860	208	173	35	437
Tb927.7.6150	Tb927_07_v5.1	1668491	1669347	-	857	253	177	76	425
Tb927.7.6170	Tb927_07_v5.1	1669989	1670852	-	864	223	113	110	1232
Tb927.7.6180	Tb927_07_v5.1	1672102	1673136	-	1035	2	0	2	2
Tb927.7.6190	Tb927_07_v5.1	1673349	1677961	-	4613	481	394	87	1684
Tb927.7.6200	Tb927_07_v5.1	1677633	1679493	-	1861	554	472	82	2018
Tb927.7.6210	Tb927_07_v5.1	1679417	1681190	-	1774	877	446	431	1292
Tb927.7.6220	Tb927_07_v5.1	1685832	1688801	-	2970	941	805	136	3009
Tb7.NT.76	Tb927_07_v5.1	1688946	1689366	-	421	47	44	3	52
Tb927.7.6230	Tb927_07_v5.1	1689691	1690348	-	658	309	213	96	607
Tb927.7.6240	Tb927_07_v5.1	1690594	1692433	-	1840	892	781	111	1577
Tb927.7.6250	Tb927_07_v5.1	1692566	1694380	-	1815	362	280	82	2171
Tb927.7.6260	Tb927_07_v5.1	1694544	1696970	-	2427	850	628	222	1521
Tb927.7.6270	Tb927_07_v5.1	1697116	1698904	-	1789	1062	684	378	1714
Tb927.7.6280	Tb927_07_v5.1	1699434	1701781	-	2348	711	521	190	5301
Tb927.7.6290	Tb927_07_v5.1	1701954	1706156	-	4203	1375	1018	357	4535
Tb927.7.6300	Tb927_07_v5.1	1707369	1710948	-	3580	1945	1321	624	3895
Tb927.7.6310	Tb927_07_v5.1	1711093	1716072	-	4980	221	195	26	690
Tb927.7.6320	Tb927_07_v5.1	1716663	1720256	-	3594	926	811	115	3419
Tb927.7.6330	Tb927_07_v5.1	1720421	1721918	-	1498	143	111	32	286
Tb927.7.6340	Tb927_07_v5.1	1721825	1725242	-	3418	854	601	253	2437
Tb927.7.6350	Tb927_07_v5.1	1725170	1727446	-	2277	683	506	177	1583
Tb927.7.6360	Tb927_07_v5.1	1727189	1729717	-	2529	111	104	7	979
Tb927.7.6370	Tb927_07_v5.1	1729876	1731709	-	1834	266	245	21	561
Tb927.7.6380	Tb927_07_v5.1	1731920	1732644	-	725	37	33	4	625
Tb927.7.6390	Tb927_07_v5.1	1733200	1736279	-	3080	319	253	66	1316
Tb927.7.6400	Tb927_07_v5.1	1736437	1737085	-	649	121	106	15	414
Tb927.7.6410	Tb927_07_v5.1	1737194	1741824	-	4631	1201	978	223	2035
Tb927.7.6420	Tb927_07_v5.1	1741962	1742811	-	850	143	127	16	451
Tb927.7.6430	Tb927_07_v5.1	1746219	1746856	-	638	11	3	8	11
Tb927.7.6440	Tb927_07_v5.1	1748201	1750850	+	2650	1044	677	367	2131
Tb927.7.6450	Tb927_07_v5.1	1751046	1752956	+	1911	329	288	41	1581
Tb927.7.6460	Tb927_07_v5.1;Tb927_07_v5.1	1753104;1753284	1755739;1755739	+;+	2636	1341	760	581	3722
Tb927.7.6465	Tb927_07_v5.1	1756008	1756323	+	316	282	238	44	373
Tb927.7.6470	Tb927_07_v5.1	1756895	1759008	+	2114	599	543	56	2031
Tb927.7.6480	Tb927_07_v5.1	1758295	1762165	+	3871	1229	813	416	2711
Tb927.7.6490	Tb927_07_v5.1	1762274	1763670	+	1397	1414	904	510	4108
Tb927.7.6500	Tb927_07_v5.1	1763786	1770756	+	6971	3065	2432	633	6960
Tb927.7.6510	Tb927_07_v5.1	1771157	1772990	+	1834	148	118	30	298
Tb927.7.6520	Tb927_07_v5.1	1774828	1776380	+	1553	276	216	60	719
Tb927.7.6530	Tb927_07_v5.1	1778327	1779929	+	1603	309	236	73	447
Tb927.7.6540	Tb927_07_v5.1	1781216	1782885	+	1670	277	157	120	586
Tb927.7.6550	Tb927_07_v5.1	1790087	1792657	-	2571	2395	1638	757	5076
Tb927.7.6560	Tb927_07_v5.1	1792806	1794025	-	1220	2312	1294	1018	4725
Tb927.7.6570	Tb927_07_v5.1	1794180	1795450	-	1271	314	212	102	368
Tb927.7.6580	Tb927_07_v5.1;Tb927_07_v5.1	1796133;1796133	1798931;1799366	-;-	3234	2069	1438	631	3816
Tb927.7.6590	Tb927_07_v5.1	1799441	1803078	-	3638	1697	1114	583	2098
Tb927.7.6600	Tb927_07_v5.1	1803229	1804560	-	1332	394	231	163	431
Tb927.7.6610	Tb927_07_v5.1	1805099	1808274	-	3176	761	541	220	3633
Tb927.7.6620	Tb927_07_v5.1;Tb927_07_v5.1	1808744;1808744	1810415;1811133	-;-	2390	1409	1044	365	1956
Tb927.7.6630	Tb927_07_v5.1	1810731	1816131	-	5401	707	520	187	1070
Tb927.7.6640	Tb927_07_v5.1	1815954	1822347	-	6394	965	630	335	1420
Tb927.7.6650	Tb927_07_v5.1	1823741	1827213	-	3473	2013	1630	383	4752
Tb927.7.6660	Tb927_07_v5.1	1827734	1828519	-	786	51	44	7	58
Tb927.7.6670	Tb927_07_v5.1	1828658	1838990	-	10333	3179	2224	955	7385
Tb927.7.6680	Tb927_07_v5.1	1842413	1845259	-	2847	331	264	67	954
Tb927.7.6690	Tb927_07_v5.1	1845605	1850188	-	4584	1085	875	210	1890
Tb927.7.6700	Tb927_07_v5.1	1851696	1854461	-	2766	940	738	202	1917
Tb927.7.6710	Tb927_07_v5.1	1854675	1855979	-	1305	311	259	52	351
Tb927.7.6720	Tb927_07_v5.1	1856413	1858052	-	1640	529	417	112	926
Tb927.7.6730	Tb927_07_v5.1	1858216	1860699	-	2484	1092	959	133	6261
Tb927.7.6740	Tb927_07_v5.1	1860825	1864136	-	3312	408	350	58	1548
Tb927.7.6750	Tb927_07_v5.1	1864609	1867040	-	2432	586	396	190	1186
Tb927.7.6760	Tb927_07_v5.1;Tb927_07_v5.1	1867146;1867146	1871081;1872245	-;-	5100	1064	937	127	3261
Tb927.7.6770	Tb927_07_v5.1	1872388	1873591	-	1204	201	182	19	790
Tb927.7.6780	Tb927_07_v5.1	1873735	1876443	-	2709	756	537	219	3000
Tb927.7.6790	Tb927_07_v5.1	1876709	1878535	-	1827	1044	450	594	2249
Tb927.7.6800	Tb927_07_v5.1	1878685	1880315	-	1631	603	402	201	970
Tb927.7.6810	Tb927_07_v5.1;Tb927_07_v5.1	1880456;1880456	1884772;1886611	-;-	6156	2947	2237	710	9866
Tb927.7.6820	Tb927_07_v5.1	1888189	1889245	-	1057	80	61	19	477
Tb927.7.6821	Tb927_07_v5.1	1890511	1890583	-	73	134	129	5	164
Tb927.7.6822	Tb927_07_v5.1	1890653	1890733	-	81	106	93	13	268
Tb927.7.6823	Tb927_07_v5.1	1890810	1890881	+	72	159	137	22	225
Tb927.7.6824	Tb927_07_v5.1	1894054	1894125	-	72	143	114	29	185
Tb927.7.6825	Tb927_07_v5.1	1894202	1894282	+	81	142	124	18	338
Tb927.7.6826	Tb927_07_v5.1	1894352	1894424	+	73	100	96	4	126
Tb927.7.6830	Tb927_07_v5.1	1895981	1897411	-	1431	1063	690	373	1669
Tb927.7.6840	Tb927_07_v5.1	1899709	1900547	-	839	358	293	65	514
Tb927.7.6845	Tb927_07_v5.1	1910941	1911013	+	73	323	297	26	1162
Tb927.7.6850	Tb927_07_v5.1	1915953	1919113	-	3161	2076	1528	548	3045
Tb927.7.6855	Tb927_07_v5.1	1927486	1929583	+	2098	45	25	20	65
Tb927.7.6860	Tb927_07_v5.1	1929710	1931536	+	1827	994	797	197	1957
Tb927.7.6863	Tb927_07_v5.1	1940108	1940290	+	183	12	10	2	15
Tb927.7.6866	Tb927_07_v5.1	1940612	1940689	+	78	98	82	16	119
Tb927.7.6869	Tb927_07_v5.1	1941008	1941143	+	136	268	200	68	554
Tb927.7.6870	Tb927_07_v5.1	1942255	1943696	-	1442	1232	836	396	1657
Tb927.7.6880	Tb927_07_v5.1	1944250	1949291	-	5042	3436	2527	909	4605
Tb927.7.6881	Tb927_07_v5.1	1951181	1953431	+	2251	3341	2605	736	4773
Tb927.7.6882	Tb927_07_v5.1	1953772	1953943	+	172	288	182	106	562
Tb927.7.6883	Tb927_07_v5.1	1954526	1956353	+	1828	1859	1485	374	3088
Tb927.7.6884	Tb927_07_v5.1	1956546	1956760	+	215	233	145	88	321
Tb927.7.6885	Tb927_07_v5.1	1956837	1958321	+	1485	1364	1041	323	1537
Tb927.7.6886	Tb927_07_v5.1	1958459	1958641	+	183	54	38	16	56
Tb927.7.6887	Tb927_07_v5.1	1958963	1959040	+	78	126	97	29	138
Tb927.7.6888	Tb927_07_v5.1	1959361	1959496	+	136	346	303	43	643
Tb927.7.6890	Tb927_07_v5.1	1962656	1963929	-	1274	382	325	57	775
Tb927.7.6900	Tb927_07_v5.1	1964058	1966807	-	2750	2617	1793	824	6343
Tb927.7.6910	Tb927_07_v5.1	1967785	1970378	-	2594	307	242	65	1265
Tb927.7.6920	Tb927_07_v5.1	1971191	1973789	-	2599	723	434	289	1380
Tb927.7.6930	Tb927_07_v5.1	1974563	1976217	-	1655	1585	1071	514	2637
Tb927.7.6940	Tb927_07_v5.1	1976370	1979326	-	2957	1278	796	482	3048
Tb927.7.6950	Tb927_07_v5.1	1979963	1982756	-	2794	1012	286	726	2500
Tb927.7.6960	Tb927_07_v5.1;Tb927_07_v5.1	1982881;1982881	1984349;1985759	-;-	2879	1024	621	403	1717
Tb927.7.6970	Tb927_07_v5.1	1984455	1989420	-	4966	1190	790	400	2209
Tb927.7.6980	Tb927_07_v5.1	1989561	1996033	-	6473	2613	2055	558	11153
Tb927.7.6990	Tb927_07_v5.1	1997372	1998371	-	1000	409	275	134	590
Tb927.7.7000	Tb927_07_v5.1	2000468	2005906	-	5439	1700	1249	451	4083
Tb927.7.7010	Tb927_07_v5.1	2006122	2007016	-	895	338	274	64	567
Tb927.7.7020	Tb927_07_v5.1	2007391	2008174	-	784	341	303	38	588
Tb927.7.7030	Tb927_07_v5.1	2009501	2011854	-	2354	1200	840	360	1713
Tb927.7.7040	Tb927_07_v5.1	2011974	2013623	-	1650	774	449	325	1226
Tb927.7.7050	Tb927_07_v5.1	2013739	2017477	-	3739	666	551	115	2826
Tb927.7.7060	Tb927_07_v5.1	2018421	2019863	-	1443	219	183	36	937
Tb927.7.7070	Tb927_07_v5.1	2019742	2021945	-	2204	504	379	125	1294
Tb927.7.7080	Tb927_07_v5.1	2022139	2023777	-	1639	418	317	101	922
Tb927.7.7090	Tb927_07_v5.1	2024334	2025629	-	1296	382	205	177	444
Tb927.7.7100	Tb927_07_v5.1	2025603	2032468	-	6866	2449	1924	525	6123
Tb927.7.7110	Tb927_07_v5.1;Tb927_07_v5.1	2033132;2033132	2035086;2035835	-;-	2704	1923	1205	718	4294
Tb927.7.7120	Tb927_07_v5.1	2038317	2041323	-	3007	1269	1090	179	4109
Tb927.7.7130	Tb927_07_v5.1	2041735	2044629	-	2895	998	509	489	3008
Tb927.7.7140	Tb927_07_v5.1	2044769	2046006	-	1238	568	447	121	894
Tb927.7.7150	Tb927_07_v5.1	2046157	2048169	-	2013	1677	963	714	2888
Tb927.7.7160	Tb927_07_v5.1	2048316	2054337	-	6022	1674	1367	307	4339
Tb927.7.7170	Tb927_07_v5.1	2056393	2058944	-	2552	787	649	138	4112
Tb927.7.7175	Tb927_07_v5.1	2059249	2059320	-	72	86	60	26	94
Tb927.7.7180	Tb927_07_v5.1	2060753	2062707	-	1955	1424	964	460	1877
Tb927.7.7190	Tb927_07_v5.1	2062844	2067885	-	5042	2608	1821	787	6571
Tb927.7.7200	Tb927_07_v5.1	2068286	2075985	-	7700	2228	1675	553	3923
Tb927.7.7210	Tb927_07_v5.1	2076286	2079519	-	3234	512	404	108	1445
Tb927.7.7220	Tb927_07_v5.1	2078866	2082943	-	4078	731	596	135	1962
Tb927.7.7230	Tb927_07_v5.1	2082955	2084504	-	1550	655	546	109	2779
Tb927.7.7240	Tb927_07_v5.1	2085380	2087863	-	2484	1446	1064	382	2352
Tb927.7.7250	Tb927_07_v5.1	2088432	2092829	-	4398	2092	1906	186	7691
Tb927.7.7260	Tb927_07_v5.1	2092998	2096773	-	3776	962	763	199	1714
Tb927.7.7270	Tb927_07_v5.1	2097571	2100567	-	2997	888	706	182	1760
Tb927.7.7280	Tb927_07_v5.1	2101047	2103136	-	2090	2517	1809	708	3931
Tb927.7.7290	Tb927_07_v5.1	2103603	2106786	-	3184	1100	848	252	1961
Tb927.7.7300	Tb927_07_v5.1	2107087	2110282	-	3196	315	183	132	500
Tb927.7.7310	Tb927_07_v5.1	2110308	2110970	-	663	168	143	25	211
Tb927.7.7320	Tb927_07_v5.1	2112166	2115062	-	2897	327	294	33	873
Tb927.7.7330	Tb927_07_v5.1	2115165	2116913	-	1749	601	497	104	1999
Tb927.7.7340	Tb927_07_v5.1	2117791	2119151	-	1361	33	14	19	86
Tb927.7.7350	Tb927_07_v5.1	2119265	2120945	-	1681	199	158	41	274
Tb927.7.7360	Tb927_07_v5.1	2120770	2122326	-	1557	780	497	283	1341
Tb927.7.7380	Tb927_07_v5.1	2122806	2123053	-	248	331	172	159	367
Tb927.7.7390	Tb927_07_v5.1	2123374	2123683	-	310	120	104	16	317
Tb927.7.7400	Tb927_07_v5.1	2123779	2130617	-	6839	1222	974	248	2723
Tb927.7.7410	Tb927_07_v5.1	2130567	2132564	-	1998	1418	987	431	1851
Tb927.7.7420	Tb927_07_v5.1	2132720	2134775	-	2056	933	588	345	1956
Tb927.7.7430	Tb927_07_v5.1	2134907	2136889	-	1983	1182	760	422	2550
Tb927.7.7440	Tb927_07_v5.1	2137017	2139442	-	2426	1677	1444	233	4507
Tb927.7.7450	Tb927_07_v5.1	2139598	2141429	-	1832	398	222	176	812
Tb927.7.7460	Tb927_07_v5.1	2141674	2142333	-	660	157	103	54	174
Tb927.7.7470	Tb927_07_v5.1	2147115	2151293	-	4179	1403	1038	365	2787
Tb927.7.7480	Tb927_07_v5.1	2156578	2159098	-	2521	2158	1552	606	5489
Tb927.7.7490	Tb927_07_v5.1;Tb927_07_v5.1	2162737;2165329	2166744;2166744	+;+	4008	1853	1331	522	2822
Tb927.7.7495	Tb927_07_v5.1	2167064	2168638	+	1575	279	243	36	1985
Tb927.7.7500	Tb927_07_v5.1	2168765	2175127	+	6363	3332	2342	990	7723
Tb927.7.7510	Tb927_07_v5.1;Tb927_07_v5.1	2175428;2176314	2177268;2177268	+;+	1841	613	406	207	2333
Tb07.30D13.180	Tb927_07_v5.1	2177383	2178291	+	909	490	330	160	840
Tb07.30D13.160	Tb927_07_v5.1	2178294	2179475	+	1182	791	614	177	1431
Tb927.7.7520	Tb927_07_v5.1	2179972	2184126	+	4155	2186	1452	734	4231
Tb07.30D13.130	Tb927_07_v5.1	2184767	2185687	+	921	714	536	178	1620
Tb07.30D13.110	Tb927_07_v5.1	2186105	2186863	+	759	239	197	42	278
Tb927.7.7530	Tb927_07_v5.1	2187360	2192043	+	4684	2125	1530	595	5051
Tb07.30D13.80	Tb927_07_v5.1	2192158	2193070	+	913	607	394	213	1068
Tb07.30D13.60	Tb927_07_v5.1	2193496	2195226	+	1731	872	589	283	1515
Tb927.7.7540	Tb927_07_v5.1	2198108	2202462	-	4355	5736	4044	1692	10782
Tb927.7.7550	Tb927_07_v5.1	2202621	2203244	-	624	800	635	165	3787
Tb927.7.7560	Tb927_07_v5.1	2203379	2204074	-	696	375	242	133	444
Tb927.4.100	Tb927_04_v5.1	1439	3133	-	1695	1610	1052	558	3170
Tb927.4.110	Tb927_04_v5.1	3639	4779	-	1141	764	599	165	1166
Tb927.4.120	Tb927_04_v5.1	10210	13522	+	3313	3764	2305	1459	5415
Tb927.4.130	Tb927_04_v5.1	13081	16569	+	3489	3989	2232	1757	5839
Tb927.4.140	Tb927_04_v5.1	17202	17667	+	466	388	266	122	611
Tb927.4.150	Tb927_04_v5.1	17988	18557	+	570	430	353	77	2858
Tb927.4.160	Tb927_04_v5.1	18584	22942	+	4359	4143	3113	1030	10935
Tb927.4.170	Tb927_04_v5.1	24183	26434	+	2252	1052	715	337	7153
Tb927.4.180	Tb927_04_v5.1	26564	27447	+	884	1270	922	348	2032
Tb927.4.190	Tb927_04_v5.1	27597	34640	+	7044	9645	6837	2808	19674
Tb927.4.200	Tb927_04_v5.1	34667	36996	-	2330	3915	2596	1319	6870
Tb927.4.210	Tb927_04_v5.1	37276	40569	-	3294	3397	2198	1199	6055
Tb927.4.220	Tb927_04_v5.1	41068	42152	-	1085	1692	1295	397	3878
Tb927.4.230	Tb927_04_v5.1	42432	45488	-	3057	2611	1810	801	3418
Tb927.4.240	Tb927_04_v5.1	46048	48873	-	2826	3730	2622	1108	7579
Tb927.4.250	Tb927_04_v5.1	49436	51513	-	2078	908	715	193	2609
Tb927.4.260	Tb927_04_v5.1	54845	57683	-	2839	1220	932	288	2622
Tb927.4.270	Tb927_04_v5.1	60277	63152	-	2876	1229	919	310	2112
Tb927.4.280	Tb927_04_v5.1	65711	68548	-	2838	1970	1494	476	3672
Tb927.4.290	Tb927_04_v5.1	71146	73984	-	2839	1921	1450	471	3311
Tb927.4.300	Tb927_04_v5.1	76576	80276	-	3701	3142	2131	1011	6999
Tb927.4.310	Tb927_04_v5.1	80881	100909	-	20029	6471	4660	1811	14976
Tb927.4.320	Tb927_04_v5.1	100794	102615	-	1822	672	586	86	1550
Tb927.4.330	Tb927_04_v5.1	102940	104119	-	1180	949	700	249	1836
Tb927.4.340	Tb927_04_v5.1	104394	105112	-	719	450	193	257	661
Tb927.4.350	Tb927_04_v5.1	105283	107452	-	2170	535	404	131	2483
Tb927.4.360	Tb927_04_v5.1	107625	109381	-	1757	1111	627	484	3732
Tb927.4.370	Tb927_04_v5.1	109183	111757	-	2575	214	118	96	1128
Tb927.4.380	Tb927_04_v5.1	112299	113899	-	1601	419	256	163	805
Tb927.4.390	Tb927_04_v5.1	113995	114674	-	680	366	338	28	835
Tb927.4.400	Tb927_04_v5.1	115494	116703	-	1210	428	156	272	457
Tb927.4.410	Tb927_04_v5.1	116889	118350	-	1462	242	183	59	554
Tb927.4.420	Tb927_04_v5.1	119549	127491	-	7943	2141	1735	406	5405
Tb927.4.430	Tb927_04_v5.1	127940	129046	-	1107	128	106	22	147
Tb927.4.440	Tb927_04_v5.1	129214	130151	-	938	42	35	7	288
Tb927.4.450	Tb927_04_v5.1	131219	134824	-	3606	990	857	133	2866
Tb927.4.460	Tb927_04_v5.1	135156	136155	-	1000	383	334	49	477
Tb927.4.470	Tb927_04_v5.1	137245	138177	-	933	82	63	19	143
Tb927.4.480	Tb927_04_v5.1	138428	139307	-	880	261	230	31	915
Tb927.4.490	Tb927_04_v5.1	139981	141676	-	1696	1211	1039	172	2745
Tb927.4.500	Tb927_04_v5.1	141838	143789	-	1952	392	295	97	1235
Tb927.4.510	Tb927_04_v5.1	143947	144490	-	544	112	87	25	121
Tb927.4.520	Tb927_04_v5.1	144882	145537	-	656	481	430	51	1246
Tb927.4.530	Tb927_04_v5.1	145985	147618	-	1634	287	230	57	355
Tb927.4.540	Tb927_04_v5.1	148745	150343	-	1599	799	609	190	1599
Tb927.4.550	Tb927_04_v5.1	150522	151192	-	671	269	233	36	563
Tb927.4.560	Tb927_04_v5.1	151603	164577	-	12975	2912	2446	466	8245
Tb927.4.570	Tb927_04_v5.1	165137	166905	-	1769	1067	728	339	2980
Tb927.4.580	Tb927_04_v5.1	166931	168539	-	1609	305	240	65	3965
Tb927.4.590	Tb927_04_v5.1	168741	171787	-	3047	985	804	181	1536
Tb927.4.600	Tb927_04_v5.1	172087	173219	-	1133	86	73	13	344
Tb927.4.610	Tb927_04_v5.1	173337	175440	-	2104	879	720	159	1225
Tb927.4.620	Tb927_04_v5.1	175573	183445	-	7873	2538	2055	483	4818
Tb927.4.630	Tb927_04_v5.1	183833	184754	-	922	807	541	266	966
Tb927.4.640	Tb927_04_v5.1	184897	186503	-	1607	1328	986	342	3120
Tb927.4.650	Tb927_04_v5.1	186963	187718	-	756	881	675	206	1596
Tb927.4.660	Tb927_04_v5.1	187983	190089	-	2107	231	224	7	2503
Tb927.4.670	Tb927_04_v5.1	190237	193674	-	3438	1022	699	323	2345
Tb927.4.680	Tb927_04_v5.1	193789	194987	-	1199	134	100	34	382
Tb927.4.690	Tb927_04_v5.1	195568	196571	-	1004	272	247	25	591
Tb927.4.700	Tb927_04_v5.1	196673	197913	-	1241	523	458	65	707
Tb927.4.710	Tb927_04_v5.1	200857	202244	-	1388	217	191	26	297
Tb927.4.720	Tb927_04_v5.1	202431	203356	-	926	211	182	29	703
