# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003742.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003742.1.all.q/CM03_E_G1_S4/counts.txt" "/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup.bam" "/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup_F_plus_R.bam" "/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup_WO.bam" "/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup.bam	/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup_F_plus_R.bam	/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup_WO.bam	/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted.bam
Tb927.9.8370	Tb927_09_v5.1	1364678	1366131	-	1454	673	531	142	1696
Tb927.9.8380	Tb927_09_v5.1	1366245	1367409	-	1165	621	427	194	687
Tb927.9.8400	Tb927_09_v5.1	1367883	1370321	-	2439	2675	1996	679	6593
Tb927.9.8410	Tb927_09_v5.1	1370468	1373184	-	2717	1370	1178	192	7372
Tb927.9.8420	Tb927_09_v5.1	1373360	1374120	-	761	4	4	0	4
Tb927.9.8450	Tb927_09_v5.1	1374250	1375219	-	970	480	384	96	1309
Tb927.9.8490	Tb927_09_v5.1	1375331	1376774	-	1444	877	670	207	1757
Tb927.9.8500	Tb927_09_v5.1	1376899	1378232	-	1334	2067	1546	521	3602
Tb927.9.8510	Tb927_09_v5.1	1378347	1380812	-	2466	2881	1928	953	4920
Tb927.9.8520	Tb927_09_v5.1	1380967	1382279	-	1313	1421	1080	341	3882
Tb927.9.8540	Tb927_09_v5.1	1382911	1386163	-	3253	3610	2532	1078	8024
Tb927.9.8550	Tb927_09_v5.1	1386387	1387086	-	700	822	511	311	1430
Tb927.9.8570	Tb927_09_v5.1	1388063	1388549	-	487	288	199	89	3808
Tb927.9.8580	Tb927_09_v5.1	1388661	1389242	-	582	209	149	60	297
Tb927.9.8610	Tb927_09_v5.1	1389374	1392000	-	2627	5398	3745	1653	12942
Tb927.9.8620	Tb927_09_v5.1	1392136	1396040	-	3905	2432	1695	737	5241
Tb927.9.8650	Tb927_09_v5.1	1396168	1397201	-	1034	1536	914	622	2828
Tb927.9.8655	Tb927_09_v5.1	1397732	1398415	-	684	123	112	11	173
Tb927.9.8670	Tb927_09_v5.1	1398553	1400933	-	2381	1394	992	402	6408
Tb927.9.8680	Tb927_09_v5.1	1401265	1402131	-	867	567	411	156	900
Tb927.9.8700	Tb927_09_v5.1	1402456	1403597	-	1142	2428	1708	720	4362
Tb927.9.8710	Tb927_09_v5.1	1403724	1404353	-	630	1018	776	242	2820
Tb927.9.8720	Tb927_09_v5.1	1404965	1406145	-	1181	1105	913	192	5914
Tb927.9.8740	Tb927_09_v5.1	1407178	1410347	-	3170	1665	1486	179	5718
Tb927.9.8760	Tb927_09_v5.1	1411122	1418239	-	7118	9106	6394	2712	21257
Tb927.9.8780	Tb927_09_v5.1	1418338	1420019	-	1682	1231	1087	144	4917
Tb927.9.8810	Tb927_09_v5.1	1420205	1420794	-	590	629	541	88	1622
Tb927.9.8815	Tb927_09_v5.1	1421017	1421523	-	507	563	472	91	3073
Tb927.9.8820	Tb927_09_v5.1	1421648	1425265	-	3618	144	112	32	2450
Tb927.9.8850	Tb927_09_v5.1	1425515	1426700	-	1186	1124	1005	119	7030
Tb927.9.8880	Tb927_09_v5.1	1426803	1428214	-	1412	1254	990	264	6760
Tb927.9.8905	Tb927_09_v5.1	1429309	1431807	-	2499	1069	742	327	1744
Tb927.9.8950	Tb927_09_v5.1	1437858	1439396	-	1539	977	761	216	1673
Tb927.9.8990	Tb927_09_v5.1	1440409	1441511	-	1103	974	645	329	2025
Tb927.9.9000	Tb927_09_v5.1	1441643	1443006	-	1364	1786	1193	593	8421
Tb927.9.9010	Tb927_09_v5.1	1443137	1445116	-	1980	1524	846	678	3262
Tb927.9.9020	Tb927_09_v5.1	1445241	1446463	-	1223	777	625	152	1436
Tb927.9.9030	Tb927_09_v5.1	1446592	1448353	-	1762	1122	944	178	3090
Tb927.9.9060	Tb927_09_v5.1	1448488	1449344	-	857	102	97	5	1077
Tb927.9.9080	Tb927_09_v5.1	1449469	1450621	-	1153	679	561	118	1334
Tb927.9.9090	Tb927_09_v5.1	1450942	1452136	-	1195	1091	995	96	5918
Tb927.9.9100	Tb927_09_v5.1	1452678	1452981	-	304	141	108	33	178
Tb927.9.9115	Tb927_09_v5.1	1453157	1453887	-	731	345	284	61	1491
Tb927.9.9120	Tb927_09_v5.1	1454005	1454885	-	881	875	795	80	1910
Tb927.9.9140	Tb927_09_v5.1	1455050	1456615	-	1566	602	557	45	2175
Tb927.9.9150	Tb927_09_v5.1	1456827	1458196	-	1370	1427	845	582	3817
Tb927.9.9160	Tb927_09_v5.1	1459171	1461088	-	1918	1864	1338	526	4644
Tb927.9.9170	Tb927_09_v5.1	1461397	1462638	-	1242	1308	1031	277	4185
Tb927.9.9180	Tb927_09_v5.1	1462785	1464605	-	1821	747	601	146	1220
Tb927.9.9190	Tb927_09_v5.1	1464910	1467086	-	2177	4597	3100	1497	10369
Tb927.9.9200	Tb927_09_v5.1	1467448	1468902	-	1455	1329	1189	140	2889
Tb927.9.9210	Tb927_09_v5.1	1469085	1469521	-	437	170	122	48	176
Tb927.9.9220	Tb927_09_v5.1	1469730	1471579	-	1850	1761	1413	348	4842
Tb927.9.9230	Tb927_09_v5.1	1472027	1472637	-	611	461	373	88	703
Tb927.9.9260	Tb927_09_v5.1	1472770	1473797	-	1028	1421	1107	314	3588
Tb927.9.9270	Tb927_09_v5.1	1473980	1475752	-	1773	1399	974	425	2225
Tb927.9.9280	Tb927_09_v5.1	1476046	1477767	-	1722	4511	3148	1363	10391
Tb927.9.9290	Tb927_09_v5.1	1477910	1480450	-	2541	2678	2256	422	6647
Tb927.9.9300	Tb927_09_v5.1	1480916	1484065	-	3150	1921	1476	445	3489
Tb927.9.9310	Tb927_09_v5.1	1484179	1487243	-	3065	3590	2725	865	7951
Tb927.9.9320	Tb927_09_v5.1	1488138	1490096	-	1959	3067	2336	731	5493
Tb927.9.9370	Tb927_09_v5.1	1492195	1496878	-	4684	2537	2037	500	7814
Tb927.9.9380	Tb927_09_v5.1	1497519	1498579	-	1061	1514	976	538	3506
Tb927.9.9390	Tb927_09_v5.1	1499907	1500913	-	1007	2057	1555	502	5006
Tb927.9.9400	Tb927_09_v5.1	1502412	1503400	-	989	963	764	199	1831
Tb927.9.9410	Tb927_09_v5.1	1503508	1505737	-	2230	2025	1493	532	3276
Tb927.9.9420	Tb927_09_v5.1	1506093	1507040	-	948	1710	1288	422	4055
Tb927.9.9430	Tb927_09_v5.1	1507384	1508306	-	923	2511	1134	1377	3287
Tb927.9.9450	Tb927_09_v5.1	1510087	1513231	-	3145	1661	1401	260	5577
Tb927.9.9520	Tb927_09_v5.1	1516102	1520647	-	4546	1926	1589	337	5586
Tb927.9.9550	Tb927_09_v5.1	1521714	1522852	-	1139	620	426	194	1877
Tb927.9.9580	Tb927_09_v5.1	1523138	1525840	-	2703	1712	1312	400	4975
Tb927.9.9600	Tb927_09_v5.1	1527148	1529516	-	2369	1461	986	475	2759
Tb927.9.9610	Tb927_09_v5.1	1529867	1530264	-	398	226	195	31	437
Tb927.9.9620	Tb927_09_v5.1	1531465	1532551	-	1087	926	693	233	1545
Tb927.9.9630	Tb927_09_v5.1	1532662	1534142	-	1481	1248	1125	123	2694
Tb927.9.9640	Tb927_09_v5.1	1534621	1537627	-	3007	4010	3253	757	13811
Tb927.9.9660	Tb927_09_v5.1	1537741	1539803	-	2063	1060	896	164	1769
Tb927.9.9670	Tb927_09_v5.1	1539949	1541243	-	1295	186	170	16	1301
Tb927.9.9690	Tb927_09_v5.1	1541392	1542539	-	1148	1343	770	573	2419
Tb927.9.9700	Tb927_09_v5.1	1542640	1544184	-	1545	2938	2013	925	7932
Tb927.9.9710	Tb927_09_v5.1	1544458	1545507	-	1050	1289	814	475	3523
Tb927.9.9720	Tb927_09_v5.1	1545611	1546499	-	889	1137	1065	72	6170
Tb927.9.9730	Tb927_09_v5.1	1547449	1548657	-	1209	169	155	14	863
Tb927.9.9740	Tb927_09_v5.1	1548812	1553399	-	4588	2533	1409	1124	6572
Tb927.9.9750	Tb927_09_v5.1	1553500	1554584	-	1085	1328	1140	188	4592
Tb927.9.9780	Tb927_09_v5.1	1554730	1556686	-	1957	2589	1968	621	3929
Tb927.9.9810	Tb927_09_v5.1	1556841	1557783	-	943	439	426	13	1145
Tb927.9.9820	Tb927_09_v5.1	1558099	1559215	-	1117	861	515	346	1956
Tb927.9.9840	Tb927_09_v5.1	1560599	1561222	-	624	726	627	99	1556
Tb927.9.9860	Tb927_09_v5.1	1562466	1564642	-	2177	1554	934	620	2511
Tb927.9.9870	Tb927_09_v5.1	1565175	1566700	-	1526	1164	917	247	1831
Tb927.9.9940	Tb927_09_v5.1	1572110	1573707	-	1598	987	883	104	6915
Tb927.9.9950	Tb927_09_v5.1	1574096	1575674	-	1579	712	541	171	3606
Tb927.9.9960	Tb927_09_v5.1	1576405	1578039	-	1635	342	237	105	362
Tb927.9.9970	Tb927_09_v5.1	1578266	1580073	-	1808	2614	1924	690	5079
Tb927.9.9990	Tb927_09_v5.1	1581100	1582174	-	1075	1504	1184	320	2796
Tb927.9.10000	Tb927_09_v5.1	1582329	1582905	-	577	886	661	225	3077
Tb927.9.10010	Tb927_09_v5.1	1583229	1585244	-	2016	3818	2982	836	12618
Tb927.9.10040	Tb927_09_v5.1	1585717	1586537	-	821	565	475	90	1877
Tb927.9.10050	Tb927_09_v5.1	1586676	1588133	-	1458	425	389	36	1668
Tb927.9.10060	Tb927_09_v5.1	1588366	1589064	-	699	333	216	117	385
Tb927.9.10070	Tb927_09_v5.1	1590135	1591029	-	895	600	474	126	1304
Tb927.9.10080	Tb927_09_v5.1	1591174	1592420	-	1247	1726	1252	474	3563
Tb927.9.10100	Tb927_09_v5.1	1592538	1597876	-	5339	4190	3008	1182	6505
Tb927.9.10140	Tb927_09_v5.1	1598374	1600847	-	2474	2063	1600	463	7687
Tb927.9.10150	Tb927_09_v5.1	1601242	1603114	-	1873	310	288	22	2209
Tb927.9.10160	Tb927_09_v5.1	1603419	1604129	-	711	394	174	220	971
Tb927.9.10170	Tb927_09_v5.1	1604247	1604908	-	662	574	487	87	1166
Tb927.9.10190	Tb927_09_v5.1	1605552	1607579	-	2028	819	712	107	2630
Tb927.9.10200	Tb927_09_v5.1	1607877	1608478	-	602	34	32	2	35
Tb927.9.10230	Tb927_09_v5.1	1608693	1609882	-	1190	2050	1405	645	3296
Tb927.9.10250	Tb927_09_v5.1	1610120	1611036	-	917	338	294	44	711
Tb927.9.10280	Tb927_09_v5.1	1612967	1617499	-	4533	1087	821	266	2676
Tb927.9.10300	Tb927_09_v5.1	1617620	1618661	-	1042	685	632	53	1759
Tb927.9.10310	Tb927_09_v5.1	1619548	1620770	-	1223	1195	1014	181	4081
Tb927.9.10340	Tb927_09_v5.1	1621876	1623382	-	1507	2114	1237	877	3493
Tb927.9.10350	Tb927_09_v5.1	1624766	1625536	-	771	1379	935	444	4025
Tb927.9.10360	Tb927_09_v5.1	1625673	1626690	-	1018	806	578	228	1629
Tb927.9.10370	Tb927_09_v5.1	1627096	1628191	-	1096	1565	953	612	2289
Tb927.9.10400	Tb927_09_v5.1	1628825	1630370	-	1546	1071	725	346	3577
Tb927.9.10430	Tb927_09_v5.1	1630524	1631147	-	624	474	353	121	1792
Tb927.9.10440	Tb927_09_v5.1	1631439	1638168	-	6730	3839	3474	365	12545
Tb927.9.10450	Tb927_09_v5.1	1638392	1642957	-	4566	3472	2651	821	8328
Tb927.9.10470	Tb927_09_v5.1	1643058	1644627	-	1570	1588	892	696	2710
Tb927.9.10490	Tb927_09_v5.1	1645182	1646993	-	1812	3806	1736	2070	9592
Tb927.9.10500	Tb927_09_v5.1	1647431	1649145	-	1715	1608	963	645	4887
Tb927.9.10510	Tb927_09_v5.1	1649709	1650131	-	423	1008	612	396	1890
Tb927.9.10520	Tb927_09_v5.1	1650252	1651681	-	1430	496	444	52	948
Tb927.9.10530	Tb927_09_v5.1	1651820	1656628	-	4809	2500	2029	471	6065
Tb927.9.10550	Tb927_09_v5.1	1657821	1660192	-	2372	443	376	67	1320
Tb927.9.10560	Tb927_09_v5.1	1660353	1662085	-	1733	889	624	265	1711
Tb927.9.10570	Tb927_09_v5.1	1662211	1663839	-	1629	1969	1501	468	9387
Tb927.9.10580	Tb927_09_v5.1	1663986	1665258	-	1273	866	573	293	1693
Tb927.9.10630	Tb927_09_v5.1	1667957	1669609	-	1653	856	616	240	3437
Tb927.9.10640	Tb927_09_v5.1	1670221	1672986	-	2766	3187	2452	735	10020
Tb927_09_v4.snoRNA.0081	Tb927_09_v5.1	1673262	1673294	-	33	98	36	62	115
Tb927_09_v4.snoRNA.0065	Tb927_09_v5.1	1673514	1673549	-	36	342	278	64	538
Tb927_09_v4.snoRNA.0073	Tb927_09_v5.1	1673782	1673808	-	27	120	88	32	163
Tb927_09_v4.snoRNA.0057	Tb927_09_v5.1	1673874	1673939	-	66	216	159	57	312
Tb927_09_v4.snoRNA.0010	Tb927_09_v5.1	1674007	1674102	-	96	160	104	56	262
Tb927_09_v4.snoRNA.0036	Tb927_09_v5.1	1674229	1674273	-	45	36	30	6	38
Tb927_09_v4.snoRNA.0023	Tb927_09_v5.1	1674291	1674446	-	156	0	0	0	0
Tb927_09_v4.snoRNA.0114	Tb927_09_v5.1	1674291	1674575	-	285	232	202	30	283
Tb927_09_v4.snoRNA.0100	Tb927_09_v5.1	1674833	1674859	-	27	98	89	9	118
Tb927_09_v4.snoRNA.0082	Tb927_09_v5.1	1675002	1675034	-	33	69	54	15	105
Tb927_09_v4.snoRNA.0066	Tb927_09_v5.1	1675254	1675289	-	36	272	230	42	442
Tb927_09_v4.snoRNA.0074	Tb927_09_v5.1	1675519	1675545	-	27	72	44	28	98
Tb927_09_v4.snoRNA.0058	Tb927_09_v5.1	1675611	1675676	-	66	154	121	33	254
Tb927_09_v4.snoRNA.0011	Tb927_09_v5.1	1675744	1675839	-	96	172	118	54	260
Tb927_09_v4.snoRNA.0037	Tb927_09_v5.1	1675966	1676010	-	45	36	28	8	37
Tb927_09_v4.snoRNA.0024	Tb927_09_v5.1	1676028	1676183	-	156	0	0	0	0
Tb927_09_v4.snoRNA.0108	Tb927_09_v5.1	1676028	1676312	-	285	244	192	52	399
Tb927_09_v4.snoRNA.0101	Tb927_09_v5.1	1676580	1676606	-	27	80	67	13	131
Tb927_09_v4.snoRNA.0083	Tb927_09_v5.1	1676751	1676783	-	33	62	52	10	85
Tb927_09_v4.snoRNA.0067	Tb927_09_v5.1	1677003	1677038	-	36	293	239	54	452
Tb927_09_v4.snoRNA.0075	Tb927_09_v5.1	1677271	1677297	-	27	122	96	26	164
Tb927_09_v4.snoRNA.0059	Tb927_09_v5.1	1677363	1677428	-	66	203	156	47	296
Tb927_09_v4.snoRNA.0012	Tb927_09_v5.1	1677496	1677591	-	96	152	93	59	245
Tb927_09_v4.snoRNA.0038	Tb927_09_v5.1	1677718	1677762	-	45	40	32	8	43
Tb927_09_v4.snoRNA.0025	Tb927_09_v5.1	1677780	1677935	-	156	0	0	0	0
Tb927_09_v4.snoRNA.0109	Tb927_09_v5.1	1677780	1678064	-	285	339	288	51	1155
Tb927_09_v4.snoRNA.0102	Tb927_09_v5.1	1678324	1678416	-	93	91	79	12	108
Tb927_09_v4.snoRNA.0084	Tb927_09_v5.1	1678497	1678529	-	33	74	62	12	93
Tb927_09_v4.snoRNA.0068	Tb927_09_v5.1	1678749	1678784	-	36	248	209	39	481
Tb927_09_v4.snoRNA.0076	Tb927_09_v5.1	1679013	1679039	-	27	72	47	25	103
Tb927_09_v4.snoRNA.0060	Tb927_09_v5.1	1679105	1679170	-	66	149	108	41	230
Tb927_09_v4.snoRNA.0016	Tb927_09_v5.1	1679238	1679333	-	96	117	74	43	225
Tb927_09_v4.snoRNA.0039	Tb927_09_v5.1	1679460	1679504	-	45	30	26	4	30
Tb927_09_v4.snoRNA.0026	Tb927_09_v5.1	1679522	1679677	-	156	0	0	0	0
Tb927_09_v4.snoRNA.0110	Tb927_09_v5.1	1679522	1679806	-	285	253	195	58	412
Tb927_09_v4.snoRNA.0103	Tb927_09_v5.1	1680074	1680100	-	27	101	91	10	164
Tb927_09_v4.snoRNA.0085	Tb927_09_v5.1	1680243	1680275	-	33	185	168	17	345
Tb927_09_v4.snoRNA.0069	Tb927_09_v5.1	1680495	1680530	-	36	310	231	79	482
Tb927_09_v4.snoRNA.0077	Tb927_09_v5.1	1680763	1680789	-	27	131	91	40	159
Tb927_09_v4.snoRNA.0061	Tb927_09_v5.1	1680855	1680920	-	66	217	160	57	297
Tb927_09_v4.snoRNA.0013	Tb927_09_v5.1	1680988	1681083	-	96	155	102	53	274
Tb927_09_v4.snoRNA.0040	Tb927_09_v5.1	1681210	1681254	-	45	36	32	4	37
Tb927_09_v4.snoRNA.0027	Tb927_09_v5.1	1681272	1681427	-	156	0	0	0	0
Tb927_09_v4.snoRNA.0111	Tb927_09_v5.1	1681272	1681556	-	285	231	183	48	384
Tb927_09_v4.snoRNA.0104	Tb927_09_v5.1	1681814	1681840	-	27	52	44	8	72
Tb927_09_v4.snoRNA.0086	Tb927_09_v5.1	1681983	1682015	-	33	51	44	7	69
Tb927_09_v4.snoRNA.0070	Tb927_09_v5.1	1682235	1682270	-	36	247	214	33	509
Tb927_09_v4.snoRNA.0078	Tb927_09_v5.1	1682499	1682525	-	27	115	96	19	143
Tb927_09_v4.snoRNA.0062	Tb927_09_v5.1	1682591	1682656	-	66	175	138	37	272
Tb927_09_v4.snoRNA.0014	Tb927_09_v5.1	1682724	1682819	-	96	158	109	49	270
Tb927_09_v4.snoRNA.0041	Tb927_09_v5.1	1682946	1682990	-	45	34	30	4	35
Tb927_09_v4.snoRNA.0028	Tb927_09_v5.1	1683008	1683163	-	156	0	0	0	0
Tb927_09_v4.snoRNA.0112	Tb927_09_v5.1	1683008	1683292	-	285	326	271	55	513
Tb927_09_v4.snoRNA.0105	Tb927_09_v5.1	1683562	1683654	-	93	141	127	14	217
Tb927_09_v4.snoRNA.0087	Tb927_09_v5.1	1683806	1683841	-	36	57	56	1	96
Tb927_09_v4.snoRNA.0071	Tb927_09_v5.1	1683965	1684201	-	237	589	480	109	867
Tb927_09_v4.snoRNA.0079	Tb927_09_v5.1	1684347	1684355	-	9	29	22	7	32
Tb927_09_v4.snoRNA.0063	Tb927_09_v5.1	1684382	1684459	-	78	146	118	28	272
Tb927_09_v4.snoRNA.0015	Tb927_09_v5.1	1684497	1684631	-	135	221	154	67	358
Tb927_09_v4.snoRNA.0042	Tb927_09_v5.1	1684739	1684813	-	75	16	9	7	16
Tb927_09_v4.snoRNA.0029	Tb927_09_v5.1	1684764	1684919	-	156	130	98	32	181
Tb927_09_v4.snoRNA.0113	Tb927_09_v5.1	1685087	1685272	-	186	100	72	28	127
Tb927_09_v4.snoRNA.0106	Tb927_09_v5.1	1685316	1685393	-	78	64	56	8	163
Tb927_09_v4.snoRNA.0088	Tb927_09_v5.1	1685546	1685581	-	36	62	58	4	102
Tb927_09_v4.snoRNA.0072	Tb927_09_v5.1	1685705	1685980	-	276	500	411	89	816
Tb927_09_v4.snoRNA.0080	Tb927_09_v5.1	1686083	1686091	-	9	6	6	0	7
Tb927_09_v4.snoRNA.0064	Tb927_09_v5.1	1686118	1686195	-	78	94	74	20	232
Tb09_snoRNA_0076	Tb927_09_v5.1	1686216	1686371	-	156	524	261	263	820
Tb927.9.10650	Tb927_09_v5.1	1686880	1687459	-	580	541	432	109	1426
Tb927.9.10660	Tb927_09_v5.1	1687936	1688470	-	535	289	284	5	2801
Tb927.9.10670	Tb927_09_v5.1	1688915	1690760	-	1846	1055	823	232	1702
Tb927.9.10680	Tb927_09_v5.1	1690883	1692144	-	1262	509	416	93	2803
Tb927.9.10690	Tb927_09_v5.1	1692626	1694908	-	2283	825	713	112	3412
Tb927.9.10710	Tb927_09_v5.1	1695112	1697366	-	2255	1046	784	262	3169
Tb927.9.10770	Tb927_09_v5.1	1697768	1702247	-	4480	215	205	10	721
Tb927.9.10790	Tb927_09_v5.1	1703030	1706222	-	3193	3999	2521	1478	5556
Tb927.9.10820	Tb927_09_v5.1	1706335	1708415	-	2081	1524	1304	220	4250
Tb927.9.10830	Tb927_09_v5.1	1708583	1709206	-	624	219	193	26	336
Tb927.9.10840	Tb927_09_v5.1	1709319	1711171	-	1853	1372	912	460	4073
Tb927.9.10850	Tb927_09_v5.1	1711275	1711809	-	535	22	22	0	165
Tb927.9.10870	Tb927_09_v5.1	1711918	1714235	-	2318	5571	3456	2115	11615
Tb927.9.10880	Tb927_09_v5.1	1714596	1715752	-	1157	520	456	64	1223
Tb927.9.10890	Tb927_09_v5.1	1715932	1717296	-	1365	450	332	118	1390
Tb927.9.10920	Tb927_09_v5.1	1717655	1721240	-	3586	2678	2093	585	5931
Tb927.9.10930	Tb927_09_v5.1	1721530	1722131	-	602	246	238	8	2642
Tb927.9.10950	Tb927_09_v5.1	1722355	1726450	-	4096	2937	2262	675	7974
Tb927.9.10960	Tb927_09_v5.1	1726615	1729049	-	2435	1975	1376	599	7656
Tb927.9.10970	Tb927_09_v5.1	1729367	1731211	-	1845	1489	1221	268	4344
Tb927.9.11000	Tb927_09_v5.1	1732299	1733423	-	1125	1045	866	179	3242
Tb927.9.11030	Tb927_09_v5.1	1734278	1737938	-	3661	1966	1610	356	5099
Tb927.9.11040	Tb927_09_v5.1	1738096	1739210	-	1115	1172	806	366	3456
Tb927.9.11050	Tb927_09_v5.1	1739704	1744915	-	5212	2633	2248	385	4386
Tb927.9.11070	Tb927_09_v5.1	1744356	1747960	-	3605	3230	2660	570	6896
Tb927.9.11100	Tb927_09_v5.1	1749790	1752529	-	2740	1259	1031	228	4322
Tb927.9.11110	Tb927_09_v5.1	1752836	1760159	-	7324	2501	2053	448	7138
Tb927.9.11120	Tb927_09_v5.1	1761126	1763060	-	1935	2347	1839	508	6405
Tb927.9.11130	Tb927_09_v5.1	1763333	1764141	-	809	536	435	101	770
Tb927.9.11140	Tb927_09_v5.1	1764245	1765823	-	1579	288	220	68	372
Tb927.9.11150	Tb927_09_v5.1	1766123	1768580	-	2458	1493	990	503	3365
Tb927.9.11220	Tb927_09_v5.1	1774914	1776146	+	1233	1478	1128	350	3665
Tb927.9.11230	Tb927_09_v5.1	1776254	1776717	+	464	215	179	36	353
Tb927.9.11250	Tb927_09_v5.1	1776931	1778274	+	1344	1712	1335	377	3652
Tb927.9.11260	Tb927_09_v5.1	1778540	1779734	+	1195	680	363	317	1207
Tb927.9.11270	Tb927_09_v5.1	1779854	1781863	+	2010	70	66	4	184
Tb927.9.11300	Tb927_09_v5.1	1781967	1783225	+	1259	151	137	14	723
Tb927.9.11330	Tb927_09_v5.1	1783333	1784437	+	1105	389	351	38	1632
Tb927.9.11350	Tb927_09_v5.1	1785350	1786375	+	1026	876	619	257	3118
Tb927.9.11360	Tb927_09_v5.1	1786627	1787700	+	1074	656	428	228	754
Tb927.9.11370	Tb927_09_v5.1	1787858	1788336	+	479	45	24	21	45
Tb927.9.11380	Tb927_09_v5.1	1788549	1789048	+	500	3	1	2	3
Tb927.9.11410	Tb927_09_v5.1	1789160	1789594	+	435	11	11	0	165
Tb927.9.11470	Tb927_09_v5.1	1789815	1790322	+	508	2	1	1	6
Tb927.9.11480	Tb927_09_v5.1	1790429	1792544	+	2116	1287	939	348	2554
Tb927.9.11490	Tb927_09_v5.1	1792674	1793181	+	508	5	5	0	13
Tb927.9.11500	Tb927_09_v5.1	1794088	1796577	+	2490	2767	1836	931	7459
Tb927.9.11510	Tb927_09_v5.1	1796728	1798022	+	1295	2186	1368	818	3709
Tb927.9.11520	Tb927_09_v5.1	1798207	1800603	+	2397	1908	1576	332	5264
Tb927.9.11540	Tb927_09_v5.1	1800501	1803164	+	2664	582	551	31	2013
Tb927.9.11560	Tb927_09_v5.1	1802729	1804384	+	1656	842	581	261	2598
Tb927.9.11580	Tb927_09_v5.1	1804567	1805897	+	1331	1483	1051	432	3751
Tb927.9.11600	Tb927_09_v5.1	1807957	1809659	+	1703	590	516	74	993
Tb927.9.11640	Tb927_09_v5.1	1809877	1812265	+	2389	685	565	120	1541
Tb927.9.11660	Tb927_09_v5.1	1812417	1813839	+	1423	1195	982	213	3161
Tb927.9.11670	Tb927_09_v5.1	1813998	1817828	+	3831	4744	3714	1030	12574
Tb927.9.11690	Tb927_09_v5.1	1818163	1820920	+	2758	2151	1628	523	6951
Tb927.9.11700	Tb927_09_v5.1	1821106	1821914	+	809	589	384	205	654
Tb927.9.11720	Tb927_09_v5.1	1822053	1823828	+	1776	483	378	105	834
Tb927.9.11740	Tb927_09_v5.1	1824849	1825719	+	871	764	428	336	1086
Tb927.9.11750	Tb927_09_v5.1	1826052	1827024	+	973	937	695	242	1348
Tb927.9.11760	Tb927_09_v5.1;Tb927_09_v5.1	1827379;1828355	1829631;1829631	+;+	2253	4613	2166	2447	11201
Tb927.9.11770	Tb927_09_v5.1	1829896	1832992	+	3097	1316	1189	127	3092
Tb927.9.11790	Tb927_09_v5.1	1834676	1836545	+	1870	3256	2684	572	13536
Tb927.9.11800	Tb927_09_v5.1	1836698	1838660	+	1963	1751	1434	317	5158
Tb927.9.11810	Tb927_09_v5.1	1838810	1840567	+	1758	988	731	257	2567
Tb927.9.11820	Tb927_09_v5.1	1841215	1842917	+	1703	1378	1134	244	6811
Tb927.9.11830	Tb927_09_v5.1	1843058	1846037	+	2980	2627	2132	495	8845
Tb927.9.11840	Tb927_09_v5.1	1846191	1847569	+	1379	513	438	75	1056
Tb927.9.11850	Tb927_09_v5.1	1847726	1853097	+	5372	2744	2091	653	7236
Tb927.9.11870	Tb927_09_v5.1	1852513	1854400	+	1888	1396	1143	253	3067
Tb927.9.11880	Tb927_09_v5.1	1854535	1856215	+	1681	1326	961	365	1962
Tb927.9.11890	Tb927_09_v5.1	1856378	1859579	+	3202	3049	1949	1100	5712
Tb927.9.11900	Tb927_09_v5.1	1859923	1861710	+	1788	1057	750	307	1971
Tb927.9.11910	Tb927_09_v5.1	1861886	1863342	+	1457	1749	1292	457	6624
Tb927.9.11930	Tb927_09_v5.1	1863758	1866733	+	2976	2133	1548	585	4291
Tb927.9.11940	Tb927_09_v5.1	1866937	1867767	+	831	933	759	174	1386
Tb927.9.11960	Tb927_09_v5.1	1868559	1870648	+	2090	3085	2472	613	6124
Tb927.9.11970	Tb927_09_v5.1	1870821	1872527	+	1707	1525	1206	319	3433
Tb927_09_v4.snoRNA.0056	Tb927_09_v5.1	1873155	1873298	+	144	214	162	52	348
Tb927_09_v4.snoRNA.0009	Tb927_09_v5.1	1873647	1873733	+	87	61	58	3	389
Tb927.9.12000	Tb927_09_v5.1	1874016	1876276	+	2261	941	847	94	2721
Tb927.9.12030	Tb927_09_v5.1;Tb927_09_v5.1	1876391;1876404	1877241;1877241	+;+	851	149	141	8	409
Tb927.9.12040	Tb927_09_v5.1	1877337	1879101	+	1765	2938	2081	857	7741
Tb927.9.12070	Tb927_09_v5.1	1880009	1883400	+	3392	2327	2063	264	8386
Tb927.9.12080	Tb927_09_v5.1	1884573	1885498	+	926	666	326	340	1541
Tb927.9.12090	Tb927_09_v5.1	1885865	1892456	+	6592	6529	4441	2088	14520
