# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003739.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003739.1.all.q/CM03_H_GG2M_S7/counts.txt" "/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup.bam" "/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup_F_plus_R.bam" "/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup_WO.bam" "/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup.bam	/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup_F_plus_R.bam	/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup_WO.bam	/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted.bam
Tb927.8.8230	Tb927_08_v5.1	2433335	2439306	+	5972	2485	1877	608	5245
Tb927.8.8240	Tb927_08_v5.1	2439429	2440847	+	1419	1102	793	309	2576
Tb927.8.8250	Tb927_08_v5.1	2441574	2442990	+	1417	937	756	181	1563
Tb927.8.8260	Tb927_08_v5.1	2443710	2445123	+	1414	855	598	257	1675
Tb927.8.8270	Tb927_08_v5.1	2446684	2451408	+	4725	856	534	322	1907
Tb927.8.8280	Tb927_08_v5.1	2451536	2452927	+	1392	358	315	43	623
Tb927.8.8290	Tb927_08_v5.1	2453270	2456419	+	3150	625	448	177	1797
Tb927.8.8300	Tb927_08_v5.1	2456562	2459326	+	2765	427	321	106	871
Tb927.8.8310	Tb927_08_v5.1	2460075	2461567	+	1493	338	306	32	2920
Tb927.8.8320	Tb927_08_v5.1	2461950	2465875	+	3926	1876	1566	310	5846
Tb927.8.8330	Tb927_08_v5.1	2466027	2470385	+	4359	1238	1163	75	8583
Tb927.8.8340	Tb927_08_v5.1	2470495	2472106	+	1612	238	227	11	486
Tb927.8.8350	Tb927_08_v5.1	2473018	2475898	+	2881	204	151	53	705
Tb927.8.8360	Tb927_08_v5.1	2479647	2481188	+	1542	1085	804	281	1533
Tb10.v4.0160	tryp_X-324h11.p1k	2381	3845	+	1465	704	449	255	2913
Tb10.v4.0161	tryp_X-324h11.p1k	5651	7225	+	1575	187	166	21	476
Tb10.v4.0162	tryp_X-324h11.p1k	7508	8345	+	838	30	19	11	391
Tb10.v4.0163	tryp_X-324h11.p1k	9968	11557	+	1590	95	92	3	143
Tb10.v4.0164	tryp_X-324h11.p1k	13266	14520	+	1255	357	318	39	1509
Tb10.v4.0165	tryp_X-324h11.p1k	16111	16212	+	102	12	12	0	13
Tb10.v4.0166	tryp_X-324h11.p1k	16409	18049	+	1641	386	244	142	443
Tb10.v4.0167	tryp_X-324h11.p1k	18572	20148	+	1577	238	216	22	302
Tb10.v4.0168	tryp_X-324h11.p1k	21487	23029	+	1543	205	140	65	856
Tb10.v4.0169	tryp_X-324h11.p1k	24503	26037	+	1535	296	251	45	410
Tb10.v4.0170	tryp_X-324h11.p1k	26581	27012	+	432	630	494	136	1389
Tb10.v4.0171	tryp_X-324h11.p1k	28760	29800	+	1041	386	290	96	573
Tb10.v4.0172	tryp_X-324h11.p1k	29929	31386	+	1458	317	217	100	1891
Tb10.v4.0173	tryp_X-324h11.p1k	34029	35427	+	1399	0	0	0	0
Tb10.v4.0174	tryp_X-324h11.p1k	36079	36555	+	477	124	74	50	135
Tb10.v4.0175	tryp_X-324h11.p1k	38394	39945	+	1552	444	382	62	784
Tb10.v4.0176	tryp_X-324h11.p1k	41871	43377	+	1507	323	286	37	2227
Tb10.v4.0177	tryp_X-324h11.p1k	44212	44610	+	399	26	26	0	224
Tb10.v4.0178	tryp_X-324h11.p1k	45691	47277	+	1587	1518	1136	382	4834
Tb10.v4.0179	tryp_X-324h11.p1k	49077	50552	+	1476	122	114	8	143
Tb10.v4.0180	tryp_X-324h11.p1k	52045	53099	+	1055	363	315	48	608
Tb10.v4.0181	tryp_X-324h11.p1k	53434	54340	+	907	142	125	17	260
Tb10.v4.0182	tryp_X-324h11.p1k	54608	56125	+	1518	2	0	2	2
Tb10.v4.0183	tryp_X-324h11.p1k	58394	61764	+	3371	196	182	14	402
Tb10.v4.0184	tryp_X-324h11.p1k	61772	63306	+	1535	1684	1275	409	4120
Tb10.v4.0185	tryp_X-324h11.p1k	64565	66094	+	1530	1339	812	527	2444
Tb10.v4.0186	tryp_X-324h11.p1k	68974	70505	+	1532	1202	1071	131	2318
Tb10.v4.0187	tryp_X-324h11.p1k	71752	73283	+	1532	226	195	31	303
Tb10.v4.0188	tryp_X-324h11.p1k	74385	75149	+	765	472	359	113	705
Tb10.v4.0189	tryp_X-324h11.p1k	75758	77293	+	1536	3	0	3	3
Tb10.v4.0190	tryp_X-324h11.p1k	78650	80102	+	1453	1079	692	387	1840
Tb10.v4.0191	tryp_X-324h11.p1k	82117	83568	+	1452	95	88	7	125
Tb10.v4.0192	tryp_X-324h11.p1k	85016	86554	+	1539	270	249	21	383
Tb10.v4.0193	tryp_X-324h11.p1k	87802	89257	+	1456	129	100	29	155
Tb927.7.100	Tb927_07_v5.1	2	442	+	441	17	12	5	18
Tb927.7.110	Tb927_07_v5.1	2279	3797	+	1519	29	27	2	33
Tb927.7.120	Tb927_07_v5.1	5047	6624	+	1578	161	132	29	1758
Tb927.7.130	Tb927_07_v5.1	6656	7466	+	811	25	22	3	287
Tb927.7.140	Tb927_07_v5.1	7638	9188	+	1551	131	57	74	160
Tb927.7.150	Tb927_07_v5.1	10135	11733	+	1599	967	576	391	1250
Tb927.7.160	Tb927_07_v5.1	18207	22398	-	4192	780	701	79	1412
Tb927.7.170	Tb927_07_v5.1	23077	24314	-	1238	609	552	57	1023
Tb927.7.180	Tb927_07_v5.1	24546	28420	-	3875	488	463	25	2736
Tb927.7.190	Tb927_07_v5.1	34179	36498	+	2320	3	1	2	9
Tb927.7.200	Tb927_07_v5.1	36627	38267	+	1641	598	405	193	1620
Tb927.7.210	Tb927_07_v5.1	39698	41797	+	2100	445	265	180	1265
Tb927.7.220	Tb927_07_v5.1	41915	43148	+	1234	1084	926	158	8245
Tb927.7.230	Tb927_07_v5.1	43368	43799	+	432	40	11	29	40
Tb927.7.240	Tb927_07_v5.1	43902	44290	+	389	51	46	5	57
Tb927.7.250	Tb927_07_v5.1	44419	47041	+	2623	1767	1399	368	3486
Tb927.7.260	Tb927_07_v5.1	47175	47710	+	536	328	290	38	600
Tb927.7.270	Tb927_07_v5.1	47949	49073	+	1125	296	257	39	1865
Tb927.7.280	Tb927_07_v5.1	49559	50314	+	756	962	864	98	3138
Tb927.7.290	Tb927_07_v5.1	50595	53258	+	2664	1567	1331	236	2044
Tb927.7.300	Tb927_07_v5.1	53460	57228	+	3769	1323	1083	240	3153
Tb927.7.310	Tb927_07_v5.1	57553	58635	-	1083	152	148	4	327
Tb927.7.320	Tb927_07_v5.1	58779	60107	-	1329	2301	1480	821	4852
Tb927.7.330	Tb927_07_v5.1	60375	61019	-	645	102	88	14	168
Tb927.7.340	Tb927_07_v5.1	61527	62570	-	1044	189	171	18	231
Tb927.7.350	Tb927_07_v5.1	62693	65223	-	2531	666	539	127	5993
Tb927.7.360	Tb927_07_v5.1	65972	67168	-	1197	891	722	169	1243
Tb927.7.370	Tb927_07_v5.1	67568	68378	-	811	170	146	24	547
Tb927.7.380	Tb927_07_v5.1	69132	70250	-	1119	559	480	79	848
Tb927.7.390	Tb927_07_v5.1	70477	72082	-	1606	437	359	78	2320
Tb927.7.400	Tb927_07_v5.1	72209	73794	-	1586	1094	714	380	1668
Tb927.7.410	Tb927_07_v5.1	74142	75000	-	859	278	258	20	549
Tb927.7.420	Tb927_07_v5.1	75122	76713	-	1592	602	427	175	977
Tb927.7.430	Tb927_07_v5.1	76842	77919	-	1078	446	365	81	2242
Tb927.7.440	Tb927_07_v5.1	78666	79706	-	1041	651	549	102	1440
Tb927.7.450	Tb927_07_v5.1	79835	82252	-	2418	1641	1141	500	4415
Tb927.7.460	Tb927_07_v5.1	82554	84389	-	1836	965	598	367	2064
Tb927.7.470	Tb927_07_v5.1	85224	86318	-	1095	577	385	192	2111
Tb927.7.480	Tb927_07_v5.1	86240	90275	-	4036	1410	1177	233	5112
Tb927.7.490	Tb927_07_v5.1	90431	92340	-	1910	150	145	5	1404
Tb927.7.500	Tb927_07_v5.1	92714	98511	-	5798	2316	1865	451	4340
Tb927.7.510	Tb927_07_v5.1	98617	100153	-	1537	200	156	44	303
Tb927.7.520	Tb927_07_v5.1	101393	102824	-	1432	410	349	61	2599
Tb927.7.530	Tb927_07_v5.1	103113	108043	-	4931	1512	1357	155	4673
Tb927.7.540	Tb927_07_v5.1	108893	110341	-	1449	35	34	1	515
Tb927.7.550	Tb927_07_v5.1	111019	113813	-	2795	1429	906	523	3041
Tb927.7.560	Tb927_07_v5.1	114077	116494	-	2418	656	529	127	2357
Tb927.7.570	Tb927_07_v5.1	116560	117615	-	1056	1293	1013	280	8577
Tb927.7.580	Tb927_07_v5.1	117749	120783	-	3035	1221	1024	197	2530
Tb927.7.590	Tb927_07_v5.1	120895	122626	-	1732	715	579	136	1692
Tb927.7.600	Tb927_07_v5.1	122740	125076	-	2337	998	599	399	1238
Tb927.7.610	Tb927_07_v5.1	126093	127785	-	1693	120	111	9	167
Tb927.7.620	Tb927_07_v5.1	127953	129249	-	1297	301	224	77	599
Tb927.7.630	Tb927_07_v5.1	129429	130420	-	992	408	246	162	471
Tb927.7.640	Tb927_07_v5.1	130909	133498	-	2590	758	614	144	1045
Tb927.7.650	Tb927_07_v5.1	133137	137242	-	4106	1982	1794	188	5041
Tb927.7.660	Tb927_07_v5.1	137493	139104	-	1612	1092	931	161	3337
Tb927.7.670	Tb927_07_v5.1	139412	143433	-	4022	2135	1502	633	3399
Tb927.7.680	Tb927_07_v5.1	144098	146565	-	2468	375	256	119	442
Tb927.7.690	Tb927_07_v5.1	147738	151558	-	3821	1165	870	295	2869
Tb927.7.700	Tb927_07_v5.1	152958	155118	-	2161	1473	1176	297	2639
Tb927.7.710	Tb927_07_v5.1	156246	158192	-	1947	85	73	12	278
Tb927.7.720	Tb927_07_v5.1	158324	164107	-	5784	3274	2394	880	5872
Tb927.7.730	Tb927_07_v5.1	164530	166627	-	2098	1225	1004	221	2770
Tb927.7.740	Tb927_07_v5.1	166797	168899	-	2103	522	350	172	599
Tb927.7.750	Tb927_07_v5.1	169510	172171	-	2662	566	457	109	1141
Tb927.7.760	Tb927_07_v5.1	172284	174517	-	2234	923	794	129	2709
Tb927.7.770	Tb927_07_v5.1	175076	176761	-	1686	1228	954	274	6524
Tb927.7.780	Tb927_07_v5.1	177066	178971	-	1906	858	635	223	1292
Tb927.7.790	Tb927_07_v5.1;Tb927_07_v5.1	179072;179072	180748;181091	-;-	2020	794	666	128	1523
Tb927.7.800	Tb927_07_v5.1	181216	183205	-	1990	853	668	185	4892
Tb927.7.810	Tb927_07_v5.1	184357	188913	-	4557	2923	2442	481	6218
Tb927.7.820	Tb927_07_v5.1	189204	190666	-	1463	1223	855	368	4957
Tb927.7.830	Tb927_07_v5.1	191360	200026	-	8667	4879	3652	1227	11510
Tb927.7.840	Tb927_07_v5.1	200147	200946	-	800	280	264	16	1763
Tb927.7.850	Tb927_07_v5.1	201318	202396	-	1079	117	68	49	140
Tb927.7.860	Tb927_07_v5.1	202507	206645	-	4139	873	738	135	2075
Tb927.7.870	Tb927_07_v5.1	206773	208144	-	1372	39	33	6	49
Tb927.7.880	Tb927_07_v5.1	208122	209378	-	1257	1132	853	279	2797
Tb927.7.890	Tb927_07_v5.1	209544	210314	-	771	163	117	46	520
Tb927.7.900	Tb927_07_v5.1	210773	212731	-	1959	890	841	49	2787
Tb927.7.910	Tb927_07_v5.1	213070	215492	-	2423	793	637	156	1439
Tb927.7.920	Tb927_07_v5.1	215610	228681	-	13072	3082	2622	460	24500
Tb927.7.930	Tb927_07_v5.1	235918	237668	+	1751	319	177	142	360
Tb927.7.940	Tb927_07_v5.1	237800	239285	+	1486	1976	1261	715	2671
Tb927.7.950	Tb927_07_v5.1	239418	240962	+	1545	1241	900	341	2048
Tb927.7.960	Tb927_07_v5.1	241269	246866	+	5598	2716	1741	975	6014
Tb927.7.970	Tb927_07_v5.1	250631	252608	+	1978	283	260	23	1319
Tb927.7.980	Tb927_07_v5.1	252736	256629	+	3894	313	262	51	1825
Tb927.7.990	Tb927_07_v5.1	256909	259775	+	2867	1022	526	496	2105
Tb927.7.1000	Tb927_07_v5.1	259928	262027	+	2100	702	607	95	2604
Tb927.7.1010	Tb927_07_v5.1	262452	263038	+	587	81	75	6	98
Tb927.7.1020	Tb927_07_v5.1	263222	264218	+	997	571	372	199	1334
Tb927.7.1025	Tb927_07_v5.1	264480	264747	+	268	97	77	20	113
Tb927.7.1030	Tb927_07_v5.1	265052	267843	+	2792	721	593	128	1417
Tb927.7.1040	Tb927_07_v5.1	268214	268795	+	582	37	30	7	39
Tb927.7.1050	Tb927_07_v5.1	268945	269481	+	537	2	2	0	2
Tb927.7.1060	Tb927_07_v5.1	269691	272054	+	2364	1186	1046	140	3738
Tb927.7.1070	Tb927_07_v5.1	272227	275017	+	2791	779	654	125	1360
Tb927.7.1080	Tb927_07_v5.1	275207	276628	+	1422	634	574	60	1697
Tb927.7.1090	Tb927_07_v5.1	277493	282373	+	4881	1315	913	402	1649
Tb927.7.1100	Tb927_07_v5.1	285307	287675	+	2369	820	590	230	1336
Tb927.7.1110	Tb927_07_v5.1	287861	289067	+	1207	244	193	51	945
Tb927.7.1120	Tb927_07_v5.1	290251	290802	+	552	200	170	30	785
Tb927.7.1130	Tb927_07_v5.1	291180	291738	+	559	273	205	68	335
Tb927.7.1140	Tb927_07_v5.1	292116	292670	+	555	255	211	44	330
Tb927.7.1150	Tb927_07_v5.1	293594	297862	+	4269	2416	1944	472	5767
Tb927.7.1160	Tb927_07_v5.1	298045	298596	+	552	273	133	140	327
Tb927.7.1170	Tb927_07_v5.1	298804	299427	+	624	214	153	61	286
Tb927.7.1172	Tb927_07_v5.1	299944	300314	+	371	187	166	21	540
Tb927.7.1175	Tb927_07_v5.1	300549	300619	+	71	39	38	1	182
Tb927.7.1180	Tb927_07_v5.1	300918	301657	+	740	29	21	8	31
Tb927.7.1190	Tb927_07_v5.1	301782	305567	+	3786	1838	1619	219	8004
Tb927.7.1200	Tb927_07_v5.1	306711	308273	+	1563	645	589	56	3215
Tb927.7.1210	Tb927_07_v5.1	308964	313308	+	4345	518	444	74	2485
Tb927.7.1220	Tb927_07_v5.1	312767	317113	+	4347	2357	2067	290	6247
Tb927.7.1230	Tb927_07_v5.1	318271	320872	+	2602	2215	1633	582	4009
Tb927.7.1240	Tb927_07_v5.1	321602	324869	+	3268	2491	1956	535	5479
Tb927.7.1250	Tb927_07_v5.1	325220	326763	+	1544	1641	1301	340	2628
Tb927.7.1260	Tb927_07_v5.1	327512	329304	+	1793	952	814	138	1978
Tb927.7.1270	Tb927_07_v5.1	329442	331294	+	1853	1659	1325	334	3550
Tb927.7.1280	Tb927_07_v5.1	331731	332793	+	1063	411	379	32	1858
Tb927.7.1290	Tb927_07_v5.1	333077	334390	+	1314	295	163	132	915
Tb927.7.1300	Tb927_07_v5.1	334513	336340	+	1828	977	810	167	3021
Tb927.7.1310	Tb927_07_v5.1	336542	341328	+	4787	5208	4319	889	25331
Tb927.7.1320	Tb927_07_v5.1	341272	342005	+	734	60	58	2	70
Tb927.7.1330	Tb927_07_v5.1	342129	343296	+	1168	529	480	49	918
Tb927.7.1340	Tb927_07_v5.1	343566	344077	+	512	139	129	10	740
Tb927.7.1350	Tb927_07_v5.1	344302	345534	+	1233	245	131	114	265
Tb927.7.1360	Tb927_07_v5.1	345867	347040	+	1174	34	18	16	36
Tb927.7.1370	Tb927_07_v5.1	350492	352315	+	1824	981	715	266	3482
Tb927.7.1380	Tb927_07_v5.1	352510	353216	+	707	157	112	45	167
Tb927.7.1390	Tb927_07_v5.1	353362	354203	+	842	301	193	108	354
Tb927.7.1400	Tb927_07_v5.1	354344	356110	+	1767	771	731	40	2140
Tb927.7.1410	Tb927_07_v5.1	356466	359223	+	2758	862	756	106	3887
Tb927.7.1420	Tb927_07_v5.1	359587	365779	+	6193	2500	1723	777	3418
Tb927.7.1430	Tb927_07_v5.1	365478	367524	+	2047	829	631	198	1987
Tb927.7.1440	Tb927_07_v5.1	367686	369499	+	1814	330	310	20	502
Tb927.7.1450	Tb927_07_v5.1	369624	371300	+	1677	66	41	25	68
Tb927.7.1460	Tb927_07_v5.1	371399	374557	+	3159	530	477	53	1412
Tb927.7.1470	Tb927_07_v5.1	374674	375666	+	993	479	433	46	688
Tb927.7.1480	Tb927_07_v5.1	375821	377317	+	1497	1131	930	201	2302
Tb927.7.1490	Tb927_07_v5.1	377870	378910	+	1041	340	254	86	408
Tb927.7.1500	Tb927_07_v5.1	379012	380266	+	1255	179	163	16	627
Tb927.7.1510	Tb927_07_v5.1	380455	382479	+	2025	693	488	205	1572
Tb927.7.1520	Tb927_07_v5.1	382587	382917	+	331	49	37	12	53
Tb927.7.1530	Tb927_07_v5.1	383284	384919	+	1636	1545	1152	393	2851
Tb927.7.1540	Tb927_07_v5.1	385039	386071	+	1033	781	558	223	1105
Tb927.7.1550	Tb927_07_v5.1	386228	388203	+	1976	251	151	100	267
Tb927.7.1560	Tb927_07_v5.1	388323	390764	+	2442	1260	686	574	2527
Tb927.7.1570	Tb927_07_v5.1	390958	395601	+	4644	862	486	376	2755
Tb927.7.1580	Tb927_07_v5.1	395718	399250	+	3533	1907	1591	316	5039
Tb927.7.1590	Tb927_07_v5.1	398932	402490	+	3559	846	627	219	3157
Tb927.7.1600	Tb927_07_v5.1	402639	404253	+	1615	1501	1012	489	3343
Tb927.7.1610	Tb927_07_v5.1	404539	406508	+	1970	630	541	89	2557
Tb927.7.1620	Tb927_07_v5.1	407028	408134	+	1107	60	47	13	801
Tb927.7.1630	Tb927_07_v5.1	408343	409434	+	1092	178	129	49	205
Tb927.7.1640	Tb927_07_v5.1	409583	411720	+	2138	405	359	46	2833
Tb927.7.1650	Tb927_07_v5.1	411867	414250	+	2384	1160	1047	113	2585
Tb927.7.1660	Tb927_07_v5.1	414448	417647	+	3200	278	264	14	1817
Tb927.7.1670	Tb927_07_v5.1	418012	419018	+	1007	343	275	68	1448
Tb927.7.1680	Tb927_07_v5.1	419454	420778	+	1325	294	265	29	2724
Tb7.NT.10	Tb927_07_v5.1	420956	421250	+	295	136	129	7	255
Tb927.7.1690	Tb927_07_v5.1	421344	422594	+	1251	167	143	24	345
Tb927.7.1700	Tb927_07_v5.1	422974	424746	+	1773	327	262	65	3140
Tb927.7.1710	Tb927_07_v5.1	425705	426962	+	1258	234	197	37	596
Tb927.7.1720	Tb927_07_v5.1	427227	428072	+	846	117	101	16	802
Tb927.7.1730	Tb927_07_v5.1	429021	429912	+	892	72	68	4	370
Tb927.7.1740	Tb927_07_v5.1	430041	430925	+	885	1	1	0	1
Tb927.7.1750	Tb927_07_v5.1	431054	431883	+	830	3	2	1	3
Tb927.7.1760	Tb927_07_v5.1	432084	434357	+	2274	199	183	16	1287
Tb927.7.1770	Tb927_07_v5.1	434542	436363	+	1822	1240	965	275	3466
Tb927.7.1780	Tb927_07_v5.1	436677	438023	+	1347	1120	791	329	1867
Tb927.7.1790	Tb927_07_v5.1	438182	440127	+	1946	772	710	62	2759
Tb927.7.1800	Tb927_07_v5.1	440247	441297	+	1051	249	197	52	856
Tb927.7.1810	Tb927_07_v5.1	441424	443069	+	1646	2322	1731	591	3257
Tb927.7.1820	Tb927_07_v5.1	443230	444016	+	787	302	250	52	1598
Tb927.7.1830	Tb927_07_v5.1	444144	445321	+	1178	914	771	143	1592
Tb927.7.1840	Tb927_07_v5.1	445602	446820	+	1219	1222	1024	198	2073
Tb927.7.1850	Tb927_07_v5.1	446985	448630	+	1646	2314	1702	612	3349
Tb927.7.1860	Tb927_07_v5.1	448791	449575	+	785	312	247	65	1584
Tb927.7.1870	Tb927_07_v5.1	449705	450882	+	1178	955	787	168	1609
Tb927.7.1880	Tb927_07_v5.1	451163	452059	+	897	1122	945	177	2018
Tb927.7.1890	Tb927_07_v5.1	452546	453553	+	1008	304	246	58	1089
Tb927.7.1900	Tb927_07_v5.1	453690	454725	+	1036	494	361	133	644
Tb927.7.1910	Tb927_07_v5.1	454830	458571	+	3742	1399	1206	193	3614
Tb927.7.1920	Tb927_07_v5.1	458693	461099	+	2407	2140	1430	710	4478
Tb927.7.1930	Tb927_07_v5.1	461640	463085	+	1446	692	574	118	1906
Tb927.7.1940	Tb927_07_v5.1	463421	464509	+	1089	439	385	54	1203
Tb927.7.1950	Tb927_07_v5.1	465663	467782	-	2120	2100	1653	447	3210
Tb927.7.1960	Tb927_07_v5.1	471247	476237	-	4991	2903	2303	600	8768
Tb927.7.1970	Tb927_07_v5.1	476850	478957	-	2108	2242	1793	449	2956
Tb927.7.1980	Tb927_07_v5.1	482414	484542	-	2129	2599	1962	637	3792
Tb927.7.1990	Tb927_07_v5.1	488002	490130	-	2129	2240	1907	333	5489
Tb927.7.2000	Tb927_07_v5.1	493613	495735	-	2123	2214	1607	607	3394
Tb927.7.2010	Tb927_07_v5.1	499215	501334	-	2120	1400	998	402	2176
Tb927.7.2020	Tb927_07_v5.1	504809	506919	-	2111	2402	1678	724	3434
Tb927.7.2030	Tb927_07_v5.1	510388	513865	-	3478	1957	1463	494	3145
Tb927.7.2040	Tb927_07_v5.1	514253	515104	-	852	710	619	91	2036
Tb927.7.2050	Tb927_07_v5.1	515353	517797	-	2445	1531	1102	429	2512
Tb927.7.2060	Tb927_07_v5.1	518221	519050	-	830	761	648	113	2405
Tb927.7.2070	Tb927_07_v5.1	519220	520650	-	1431	1600	1396	204	5146
Tb927.7.2080	Tb927_07_v5.1	520759	524129	-	3371	963	809	154	4047
Tb927.7.2090	Tb927_07_v5.1	526142	531506	-	5365	254	230	24	830
Tb927.7.2100	Tb927_07_v5.1	531682	534685	-	3004	533	488	45	1779
Tb927.7.2110	Tb927_07_v5.1	535961	537302	-	1342	43	40	3	64
Tb927.7.2120	Tb927_07_v5.1	539581	541308	-	1728	460	447	13	1426
Tb927.7.2130	Tb927_07_v5.1	541593	543191	-	1599	153	134	19	166
Tb927.7.2140	Tb927_07_v5.1	545293	550039	-	4747	115	101	14	281
Tb7.NT.17	Tb927_07_v5.1	550116	550690	-	575	20	10	10	20
Tb927.7.2150	Tb927_07_v5.1	551107	556076	-	4970	1459	1233	226	2949
Tb927.7.2160	Tb927_07_v5.1	556306	559190	-	2885	235	187	48	854
Tb927.7.2170	Tb927_07_v5.1	559785	564281	-	4497	371	205	166	435
Tb927.7.2180	Tb927_07_v5.1;Tb927_07_v5.1	564631;564631	565985;566750	-;-	2120	277	219	58	769
Tb927.7.2190	Tb927_07_v5.1	567798	568773	-	976	0	0	0	0
Tb927.7.2200	Tb927_07_v5.1	569781	570266	-	486	163	109	54	283
Tb927.7.2210	Tb927_07_v5.1	572049	572675	-	627	117	94	23	192
Tb927.7.2220	Tb927_07_v5.1	573084	575251	-	2168	589	480	109	1464
Tb927.7.2230	Tb927_07_v5.1	576041	577938	-	1898	697	450	247	1065
Tb927.7.2240	Tb927_07_v5.1	578928	580848	-	1921	708	559	149	1498
Tb927.7.2250	Tb927_07_v5.1	581709	583968	-	2260	609	549	60	1533
Tb927.7.2260	Tb927_07_v5.1	584245	585581	-	1337	358	343	15	804
Tb927.7.2270	Tb927_07_v5.1	585533	587093	-	1561	20	12	8	21
Tb927.7.2280	Tb927_07_v5.1	587653	588782	-	1130	53	46	7	398
Tb927.7.2290	Tb927_07_v5.1	589157	589840	-	684	300	291	9	675
Tb927.7.2300	Tb927_07_v5.1	589990	594412	-	4423	1263	1016	247	3912
Tb927.7.2310	Tb927_07_v5.1	594584	596060	-	1477	374	351	23	684
Tb927.7.2320	Tb927_07_v5.1	596215	598474	-	2260	2029	1603	426	4368
Tb927.7.2330	Tb927_07_v5.1	599448	603835	-	4388	6024	5141	883	26260
Tb927.7.2340	Tb927_07_v5.1	603979	604624	-	646	2	0	2	2
Tb927.7.2350	Tb927_07_v5.1	604873	608652	-	3780	4598	3262	1336	9882
Tb927.7.2360	Tb927_07_v5.1	609530	611000	-	1471	1008	694	314	2187
Tb927.7.2370	Tb927_07_v5.1	611224	611771	-	548	22	21	1	23
Tb927.7.2380	Tb927_07_v5.1	611904	612873	-	970	54	29	25	57
Tb927.7.2390	Tb927_07_v5.1	613600	616879	-	3280	416	362	54	964
Tb927.7.2400	Tb927_07_v5.1	616922	618702	-	1781	282	256	26	781
Tb927.7.2410	Tb927_07_v5.1	619122	621818	-	2697	1629	1054	575	2589
Tb927.7.2420	Tb927_07_v5.1	622906	628228	-	5323	1010	940	70	3735
Tb927.7.2440	Tb927_07_v5.1	628618	629656	-	1039	35	34	1	573
Tb927.7.2450	Tb927_07_v5.1	630506	632324	-	1819	481	334	147	529
Tb927.7.2460	Tb927_07_v5.1	632522	634195	-	1674	906	694	212	2357
Tb927.7.2470	Tb927_07_v5.1	634353	637148	-	2796	2136	1662	474	3794
Tb927.7.2480	Tb927_07_v5.1	637278	638718	-	1441	1006	626	380	2343
Tb927.7.2490	Tb927_07_v5.1	638932	641124	-	2193	195	131	64	204
Tb927.7.2500	Tb927_07_v5.1	642312	643915	-	1604	49	47	2	632
Tb927.7.2510	Tb927_07_v5.1	644887	646179	-	1293	861	803	58	1828
Tb927.7.2520	Tb927_07_v5.1	645954	647855	-	1902	1034	888	146	3548
Tb927.7.2530	Tb927_07_v5.1	647986	649266	-	1281	281	239	42	1145
Tb927.7.2540	Tb927_07_v5.1	650802	652001	-	1200	1254	882	372	2439
Tb927.7.2550	Tb927_07_v5.1	652177	655148	-	2972	1208	1022	186	1769
Tb927.7.2560	Tb927_07_v5.1	655397	659312	-	3916	2243	1470	773	11840
Tb927.7.2570	Tb927_07_v5.1	659551	662010	-	2460	632	421	211	795
Tb927.7.2580	Tb927_07_v5.1	661887	666232	-	4346	540	491	49	2988
Tb927.7.2590	Tb927_07_v5.1	666388	667515	-	1128	145	85	60	159
Tb927.7.2600	Tb927_07_v5.1	667410	668877	-	1468	41	30	11	43
Tb927.7.2610	Tb927_07_v5.1	669539	671059	-	1521	58	51	7	621
Tb927.7.2620	Tb927_07_v5.1	671191	672493	-	1303	72	47	25	75
Tb927.7.2630	Tb927_07_v5.1	672562	675452	-	2891	1040	872	168	2108
Tb927.7.2640	Tb927_07_v5.1	675664	678494	-	2831	832	794	38	2304
Tb927.7.2650	Tb927_07_v5.1	678707	682525	-	3819	917	784	133	2739
Tb927.7.2660	Tb927_07_v5.1	682738	689348	-	6611	2067	1543	524	5508
Tb927.7.2670	Tb927_07_v5.1	693074	694742	-	1669	839	744	95	1665
Tb927.7.2680	Tb927_07_v5.1	700738	703049	-	2312	342	318	24	472
Tb927.7.2690	Tb927_07_v5.1	703302	704217	-	916	884	666	218	2057
Tb927.7.2700	Tb927_07_v5.1	705273	706499	-	1227	356	310	46	492
Tb927.7.2710	Tb927_07_v5.1	706599	707786	-	1188	233	204	29	678
Tb927.7.2720	Tb927_07_v5.1	707927	709991	-	2065	383	277	106	913
Tb927.7.2730	Tb927_07_v5.1	710233	711160	-	928	33	15	18	35
Tb927.7.2740	Tb927_07_v5.1	716953	717495	+	543	311	288	23	1137
Tb927.7.2750	Tb927_07_v5.1	717696	719264	+	1569	271	100	171	298
Tb927.7.2760	Tb927_07_v5.1	719390	720280	+	891	196	143	53	506
