# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003738.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/counts.txt" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup.bam" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_F_plus_R.bam" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_WO.bam" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup.bam	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_F_plus_R.bam	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_WO.bam	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted.bam
Tb10.v4.0186	tryp_X-324h11.p1k	68974	70505	+	1532	1034	943	91	1701
Tb10.v4.0187	tryp_X-324h11.p1k	71752	73283	+	1532	252	217	35	329
Tb10.v4.0188	tryp_X-324h11.p1k	74385	75149	+	765	651	371	280	2014
Tb10.v4.0189	tryp_X-324h11.p1k	75758	77293	+	1536	20	15	5	124
Tb10.v4.0190	tryp_X-324h11.p1k	78650	80102	+	1453	1014	607	407	1602
Tb10.v4.0191	tryp_X-324h11.p1k	82117	83568	+	1452	26	21	5	28
Tb10.v4.0192	tryp_X-324h11.p1k	85016	86554	+	1539	303	266	37	483
Tb10.v4.0193	tryp_X-324h11.p1k	87802	89257	+	1456	191	139	52	479
Tb927.7.100	Tb927_07_v5.1	2	442	+	441	30	20	10	31
Tb927.7.110	Tb927_07_v5.1	2279	3797	+	1519	38	33	5	43
Tb927.7.120	Tb927_07_v5.1	5047	6624	+	1578	140	88	52	1175
Tb927.7.130	Tb927_07_v5.1	6656	7466	+	811	28	24	4	62
Tb927.7.140	Tb927_07_v5.1	7638	9188	+	1551	183	124	59	219
Tb927.7.150	Tb927_07_v5.1	10135	11733	+	1599	461	260	201	529
Tb927.7.160	Tb927_07_v5.1	18207	22398	-	4192	1164	852	312	1930
Tb927.7.170	Tb927_07_v5.1	23077	24314	-	1238	599	532	67	1021
Tb927.7.180	Tb927_07_v5.1	24546	28420	-	3875	637	558	79	3563
Tb927.7.190	Tb927_07_v5.1	34179	36498	+	2320	210	134	76	3658
Tb927.7.200	Tb927_07_v5.1	36627	38267	+	1641	791	516	275	2812
Tb927.7.210	Tb927_07_v5.1	39698	41797	+	2100	721	600	121	1964
Tb927.7.220	Tb927_07_v5.1	41915	43148	+	1234	824	678	146	6680
Tb927.7.230	Tb927_07_v5.1	43368	43799	+	432	129	42	87	133
Tb927.7.240	Tb927_07_v5.1	43902	44290	+	389	79	50	29	82
Tb927.7.250	Tb927_07_v5.1	44419	47041	+	2623	2811	2079	732	4845
Tb927.7.260	Tb927_07_v5.1	47175	47710	+	536	188	166	22	355
Tb927.7.270	Tb927_07_v5.1	47949	49073	+	1125	361	296	65	2900
Tb927.7.280	Tb927_07_v5.1	49559	50314	+	756	1009	886	123	3136
Tb927.7.290	Tb927_07_v5.1	50595	53258	+	2664	2971	2328	643	4817
Tb927.7.300	Tb927_07_v5.1	53460	57228	+	3769	1963	1550	413	4232
Tb927.7.310	Tb927_07_v5.1	57553	58635	-	1083	219	197	22	479
Tb927.7.320	Tb927_07_v5.1	58779	60107	-	1329	2023	1295	728	5079
Tb927.7.330	Tb927_07_v5.1	60375	61019	-	645	340	270	70	507
Tb927.7.340	Tb927_07_v5.1	61527	62570	-	1044	329	294	35	439
Tb927.7.350	Tb927_07_v5.1	62693	65223	-	2531	1134	921	213	6346
Tb927.7.360	Tb927_07_v5.1	65972	67168	-	1197	1320	1062	258	2461
Tb927.7.370	Tb927_07_v5.1	67568	68378	-	811	284	234	50	771
Tb927.7.380	Tb927_07_v5.1	69132	70250	-	1119	684	559	125	1177
Tb927.7.390	Tb927_07_v5.1	70477	72082	-	1606	553	381	172	3812
Tb927.7.400	Tb927_07_v5.1	72209	73794	-	1586	1174	782	392	1697
Tb927.7.410	Tb927_07_v5.1	74142	75000	-	859	430	397	33	917
Tb927.7.420	Tb927_07_v5.1	75122	76713	-	1592	864	624	240	1281
Tb927.7.430	Tb927_07_v5.1	76842	77919	-	1078	671	536	135	3945
Tb927.7.440	Tb927_07_v5.1	78666	79706	-	1041	706	590	116	1806
Tb927.7.450	Tb927_07_v5.1	79835	82252	-	2418	1549	994	555	2679
Tb927.7.460	Tb927_07_v5.1	82554	84389	-	1836	722	432	290	1202
Tb927.7.470	Tb927_07_v5.1	85224	86318	-	1095	455	316	139	1673
Tb927.7.480	Tb927_07_v5.1	86240	90275	-	4036	1405	1128	277	3850
Tb927.7.490	Tb927_07_v5.1	90431	92340	-	1910	485	431	54	2855
Tb927.7.500	Tb927_07_v5.1	92714	98511	-	5798	2460	1884	576	4037
Tb927.7.510	Tb927_07_v5.1	98617	100153	-	1537	214	99	115	357
Tb927.7.520	Tb927_07_v5.1	101393	102824	-	1432	301	257	44	1417
Tb927.7.530	Tb927_07_v5.1	103113	108043	-	4931	1715	1493	222	4658
Tb927.7.540	Tb927_07_v5.1	108893	110341	-	1449	144	114	30	769
Tb927.7.550	Tb927_07_v5.1	111019	113813	-	2795	1739	1055	684	4245
Tb927.7.560	Tb927_07_v5.1	114077	116494	-	2418	1350	1005	345	2984
Tb927.7.570	Tb927_07_v5.1	116560	117615	-	1056	1036	883	153	4130
Tb927.7.580	Tb927_07_v5.1	117749	120783	-	3035	1615	1137	478	2722
Tb927.7.590	Tb927_07_v5.1	120895	122626	-	1732	1422	1107	315	3465
Tb927.7.600	Tb927_07_v5.1	122740	125076	-	2337	1145	732	413	1691
Tb927.7.610	Tb927_07_v5.1	126093	127785	-	1693	68	52	16	93
Tb927.7.620	Tb927_07_v5.1	127953	129249	-	1297	557	446	111	1146
Tb927.7.630	Tb927_07_v5.1	129429	130420	-	992	360	209	151	418
Tb927.7.640	Tb927_07_v5.1	130909	133498	-	2590	843	625	218	1266
Tb927.7.650	Tb927_07_v5.1	133137	137242	-	4106	3053	2340	713	8138
Tb927.7.660	Tb927_07_v5.1	137493	139104	-	1612	1428	1106	322	3275
Tb927.7.670	Tb927_07_v5.1	139412	143433	-	4022	2376	1733	643	3904
Tb927.7.680	Tb927_07_v5.1	144098	146565	-	2468	447	280	167	598
Tb927.7.690	Tb927_07_v5.1	147738	151558	-	3821	888	710	178	2507
Tb927.7.700	Tb927_07_v5.1	152958	155118	-	2161	1797	1276	521	4023
Tb927.7.710	Tb927_07_v5.1	156246	158192	-	1947	205	151	54	415
Tb927.7.720	Tb927_07_v5.1	158324	164107	-	5784	4044	2639	1405	7162
Tb927.7.730	Tb927_07_v5.1	164530	166627	-	2098	549	494	55	1081
Tb927.7.740	Tb927_07_v5.1	166797	168899	-	2103	989	744	245	2239
Tb927.7.750	Tb927_07_v5.1	169510	172171	-	2662	702	556	146	1197
Tb927.7.760	Tb927_07_v5.1	172284	174517	-	2234	663	586	77	1117
Tb927.7.770	Tb927_07_v5.1	175076	176761	-	1686	1055	851	204	2918
Tb927.7.780	Tb927_07_v5.1	177066	178971	-	1906	967	807	160	1697
Tb927.7.790	Tb927_07_v5.1;Tb927_07_v5.1	179072;179072	180748;181091	-;-	2020	929	712	217	1744
Tb927.7.800	Tb927_07_v5.1	181216	183205	-	1990	1079	790	289	8440
Tb927.7.810	Tb927_07_v5.1	184357	188913	-	4557	2511	1972	539	5833
Tb927.7.820	Tb927_07_v5.1	189204	190666	-	1463	427	348	79	747
Tb927.7.830	Tb927_07_v5.1	191360	200026	-	8667	6803	4758	2045	16226
Tb927.7.840	Tb927_07_v5.1	200147	200946	-	800	277	263	14	891
Tb927.7.850	Tb927_07_v5.1	201318	202396	-	1079	286	193	93	324
Tb927.7.860	Tb927_07_v5.1	202507	206645	-	4139	1566	1223	343	3993
Tb927.7.870	Tb927_07_v5.1	206773	208144	-	1372	495	446	49	696
Tb927.7.880	Tb927_07_v5.1	208122	209378	-	1257	877	674	203	2269
Tb927.7.890	Tb927_07_v5.1	209544	210314	-	771	647	508	139	1614
Tb927.7.900	Tb927_07_v5.1	210773	212731	-	1959	1161	1050	111	2847
Tb927.7.910	Tb927_07_v5.1	213070	215492	-	2423	842	576	266	1943
Tb927.7.920	Tb927_07_v5.1	215610	228681	-	13072	770	673	97	4847
Tb927.7.930	Tb927_07_v5.1	235918	237668	+	1751	168	84	84	261
Tb927.7.940	Tb927_07_v5.1	237800	239285	+	1486	1639	920	719	2257
Tb927.7.950	Tb927_07_v5.1	239418	240962	+	1545	1375	924	451	2276
Tb927.7.960	Tb927_07_v5.1	241269	246866	+	5598	2199	1322	877	3807
Tb927.7.970	Tb927_07_v5.1	250631	252608	+	1978	689	542	147	2492
Tb927.7.980	Tb927_07_v5.1	252736	256629	+	3894	568	429	139	1977
Tb927.7.990	Tb927_07_v5.1	256909	259775	+	2867	1587	1125	462	3184
Tb927.7.1000	Tb927_07_v5.1	259928	262027	+	2100	576	500	76	2094
Tb927.7.1010	Tb927_07_v5.1	262452	263038	+	587	152	116	36	216
Tb927.7.1020	Tb927_07_v5.1	263222	264218	+	997	824	495	329	2222
Tb927.7.1025	Tb927_07_v5.1	264480	264747	+	268	75	61	14	178
Tb927.7.1030	Tb927_07_v5.1	265052	267843	+	2792	519	418	101	793
Tb927.7.1040	Tb927_07_v5.1	268214	268795	+	582	37	30	7	37
Tb927.7.1050	Tb927_07_v5.1	268945	269481	+	537	38	34	4	40
Tb927.7.1060	Tb927_07_v5.1	269691	272054	+	2364	914	783	131	2233
Tb927.7.1070	Tb927_07_v5.1	272227	275017	+	2791	1248	1056	192	2918
Tb927.7.1080	Tb927_07_v5.1	275207	276628	+	1422	840	721	119	2676
Tb927.7.1090	Tb927_07_v5.1	277493	282373	+	4881	1621	1170	451	2017
Tb927.7.1100	Tb927_07_v5.1	285307	287675	+	2369	661	531	130	1336
Tb927.7.1110	Tb927_07_v5.1	287861	289067	+	1207	282	204	78	1361
Tb927.7.1120	Tb927_07_v5.1	290251	290802	+	552	363	279	84	1382
Tb927.7.1130	Tb927_07_v5.1	291180	291738	+	559	351	256	95	422
Tb927.7.1140	Tb927_07_v5.1	292116	292670	+	555	410	301	109	507
Tb927.7.1150	Tb927_07_v5.1	293594	297862	+	4269	2798	2168	630	6446
Tb927.7.1160	Tb927_07_v5.1	298045	298596	+	552	286	105	181	308
Tb927.7.1170	Tb927_07_v5.1	298804	299427	+	624	234	204	30	535
Tb927.7.1172	Tb927_07_v5.1	299944	300314	+	371	193	133	60	606
Tb927.7.1175	Tb927_07_v5.1	300549	300619	+	71	111	106	5	476
Tb927.7.1180	Tb927_07_v5.1	300918	301657	+	740	261	166	95	336
Tb927.7.1190	Tb927_07_v5.1	301782	305567	+	3786	1927	1632	295	7368
Tb927.7.1200	Tb927_07_v5.1	306711	308273	+	1563	699	598	101	2077
Tb927.7.1210	Tb927_07_v5.1	308964	313308	+	4345	956	692	264	4914
Tb927.7.1220	Tb927_07_v5.1	312767	317113	+	4347	2935	2380	555	8225
Tb927.7.1230	Tb927_07_v5.1	318271	320872	+	2602	1910	1569	341	3442
Tb927.7.1240	Tb927_07_v5.1	321602	324869	+	3268	2569	2059	510	4205
Tb927.7.1250	Tb927_07_v5.1	325220	326763	+	1544	1993	1269	724	3202
Tb927.7.1260	Tb927_07_v5.1	327512	329304	+	1793	814	645	169	2608
Tb927.7.1270	Tb927_07_v5.1	329442	331294	+	1853	1947	1264	683	3876
Tb927.7.1280	Tb927_07_v5.1	331731	332793	+	1063	367	326	41	3144
Tb927.7.1290	Tb927_07_v5.1	333077	334390	+	1314	388	239	149	1378
Tb927.7.1300	Tb927_07_v5.1	334513	336340	+	1828	758	629	129	3180
Tb927.7.1310	Tb927_07_v5.1	336542	341328	+	4787	1616	1455	161	4131
Tb927.7.1320	Tb927_07_v5.1	341272	342005	+	734	70	68	2	80
Tb927.7.1330	Tb927_07_v5.1	342129	343296	+	1168	263	222	41	451
Tb927.7.1340	Tb927_07_v5.1	343566	344077	+	512	92	86	6	674
Tb927.7.1350	Tb927_07_v5.1	344302	345534	+	1233	367	206	161	384
Tb927.7.1360	Tb927_07_v5.1	345867	347040	+	1174	135	91	44	167
Tb927.7.1370	Tb927_07_v5.1	350492	352315	+	1824	1244	892	352	6417
Tb927.7.1380	Tb927_07_v5.1	352510	353216	+	707	328	222	106	406
Tb927.7.1390	Tb927_07_v5.1	353362	354203	+	842	538	308	230	677
Tb927.7.1400	Tb927_07_v5.1	354344	356110	+	1767	907	757	150	1651
Tb927.7.1410	Tb927_07_v5.1	356466	359223	+	2758	1084	940	144	4249
Tb927.7.1420	Tb927_07_v5.1	359587	365779	+	6193	3887	2426	1461	5704
Tb927.7.1430	Tb927_07_v5.1	365478	367524	+	2047	495	462	33	2234
Tb927.7.1440	Tb927_07_v5.1	367686	369499	+	1814	502	450	52	845
Tb927.7.1450	Tb927_07_v5.1	369624	371300	+	1677	288	153	135	1437
Tb927.7.1460	Tb927_07_v5.1	371399	374557	+	3159	462	374	88	1332
Tb927.7.1470	Tb927_07_v5.1	374674	375666	+	993	639	563	76	985
Tb927.7.1480	Tb927_07_v5.1	375821	377317	+	1497	1254	1048	206	2508
Tb927.7.1490	Tb927_07_v5.1	377870	378910	+	1041	610	416	194	797
Tb927.7.1500	Tb927_07_v5.1	379012	380266	+	1255	471	390	81	705
Tb927.7.1510	Tb927_07_v5.1	380455	382479	+	2025	597	432	165	4954
Tb927.7.1520	Tb927_07_v5.1	382587	382917	+	331	47	44	3	59
Tb927.7.1530	Tb927_07_v5.1	383284	384919	+	1636	1485	1023	462	2935
Tb927.7.1540	Tb927_07_v5.1	385039	386071	+	1033	666	431	235	793
Tb927.7.1550	Tb927_07_v5.1	386228	388203	+	1976	478	374	104	563
Tb927.7.1560	Tb927_07_v5.1	388323	390764	+	2442	1105	648	457	2724
Tb927.7.1570	Tb927_07_v5.1	390958	395601	+	4644	764	469	295	1716
Tb927.7.1580	Tb927_07_v5.1	395718	399250	+	3533	1444	1262	182	2658
Tb927.7.1590	Tb927_07_v5.1	398932	402490	+	3559	704	552	152	3071
Tb927.7.1600	Tb927_07_v5.1	402639	404253	+	1615	1528	989	539	4064
Tb927.7.1610	Tb927_07_v5.1	404539	406508	+	1970	1316	1118	198	3726
Tb927.7.1620	Tb927_07_v5.1	407028	408134	+	1107	179	111	68	1112
Tb927.7.1630	Tb927_07_v5.1	408343	409434	+	1092	272	179	93	318
Tb927.7.1640	Tb927_07_v5.1	409583	411720	+	2138	358	312	46	1627
Tb927.7.1650	Tb927_07_v5.1	411867	414250	+	2384	1313	1125	188	3920
Tb927.7.1660	Tb927_07_v5.1	414448	417647	+	3200	887	816	71	3722
Tb927.7.1670	Tb927_07_v5.1	418012	419018	+	1007	325	257	68	1731
Tb927.7.1680	Tb927_07_v5.1	419454	420778	+	1325	1006	894	112	4634
Tb7.NT.10	Tb927_07_v5.1	420956	421250	+	295	125	122	3	758
Tb927.7.1690	Tb927_07_v5.1	421344	422594	+	1251	281	209	72	364
Tb927.7.1700	Tb927_07_v5.1	422974	424746	+	1773	518	314	204	1776
Tb927.7.1710	Tb927_07_v5.1	425705	426962	+	1258	791	661	130	1717
Tb927.7.1720	Tb927_07_v5.1	427227	428072	+	846	64	53	11	175
Tb927.7.1730	Tb927_07_v5.1	429021	429912	+	892	329	279	50	1962
Tb927.7.1740	Tb927_07_v5.1	430041	430925	+	885	11	7	4	11
Tb927.7.1750	Tb927_07_v5.1	431054	431883	+	830	90	71	19	99
Tb927.7.1760	Tb927_07_v5.1	432084	434357	+	2274	443	336	107	2022
Tb927.7.1770	Tb927_07_v5.1	434542	436363	+	1822	1114	870	244	4907
Tb927.7.1780	Tb927_07_v5.1	436677	438023	+	1347	1176	709	467	2310
Tb927.7.1790	Tb927_07_v5.1	438182	440127	+	1946	1143	1009	134	3635
Tb927.7.1800	Tb927_07_v5.1	440247	441297	+	1051	216	156	60	1622
Tb927.7.1810	Tb927_07_v5.1	441424	443069	+	1646	2363	1616	747	3507
Tb927.7.1820	Tb927_07_v5.1	443230	444016	+	787	421	340	81	2311
Tb927.7.1830	Tb927_07_v5.1	444144	445321	+	1178	901	709	192	1323
Tb927.7.1840	Tb927_07_v5.1	445602	446820	+	1219	1417	1113	304	2311
Tb927.7.1850	Tb927_07_v5.1	446985	448630	+	1646	2394	1678	716	3556
Tb927.7.1860	Tb927_07_v5.1	448791	449575	+	785	402	324	78	2277
Tb927.7.1870	Tb927_07_v5.1	449705	450882	+	1178	858	700	158	1257
Tb927.7.1880	Tb927_07_v5.1	451163	452059	+	897	1230	969	261	2007
Tb927.7.1890	Tb927_07_v5.1	452546	453553	+	1008	570	473	97	2421
Tb927.7.1900	Tb927_07_v5.1	453690	454725	+	1036	710	392	318	985
Tb927.7.1910	Tb927_07_v5.1	454830	458571	+	3742	2050	1686	364	4121
Tb927.7.1920	Tb927_07_v5.1	458693	461099	+	2407	1923	1211	712	4230
Tb927.7.1930	Tb927_07_v5.1	461640	463085	+	1446	1038	790	248	2509
Tb927.7.1940	Tb927_07_v5.1	463421	464509	+	1089	489	417	72	1619
Tb927.7.1950	Tb927_07_v5.1	465663	467782	-	2120	3177	2407	770	4512
Tb927.7.1960	Tb927_07_v5.1	471247	476237	-	4991	4188	3109	1079	10215
Tb927.7.1970	Tb927_07_v5.1	476850	478957	-	2108	3245	2466	779	4379
Tb927.7.1980	Tb927_07_v5.1	482414	484542	-	2129	3594	2650	944	5076
Tb927.7.1990	Tb927_07_v5.1	488002	490130	-	2129	3153	2418	735	5759
Tb927.7.2000	Tb927_07_v5.1	493613	495735	-	2123	3323	2333	990	4739
Tb927.7.2010	Tb927_07_v5.1	499215	501334	-	2120	2007	1451	556	2913
Tb927.7.2020	Tb927_07_v5.1	504809	506919	-	2111	3755	2401	1354	4999
Tb927.7.2030	Tb927_07_v5.1	510388	513865	-	3478	2982	2238	744	5785
Tb927.7.2040	Tb927_07_v5.1	514253	515104	-	852	718	567	151	2331
Tb927.7.2050	Tb927_07_v5.1	515353	517797	-	2445	932	690	242	1718
Tb927.7.2060	Tb927_07_v5.1	518221	519050	-	830	1083	855	228	5141
Tb927.7.2070	Tb927_07_v5.1	519220	520650	-	1431	1109	910	199	3029
Tb927.7.2080	Tb927_07_v5.1	520759	524129	-	3371	1187	956	231	4496
Tb927.7.2090	Tb927_07_v5.1	526142	531506	-	5365	262	245	17	640
Tb927.7.2100	Tb927_07_v5.1	531682	534685	-	3004	431	396	35	1550
Tb927.7.2110	Tb927_07_v5.1	535961	537302	-	1342	34	31	3	42
Tb927.7.2120	Tb927_07_v5.1	539581	541308	-	1728	266	228	38	1160
Tb927.7.2130	Tb927_07_v5.1	541593	543191	-	1599	138	109	29	151
Tb927.7.2140	Tb927_07_v5.1	545293	550039	-	4747	274	232	42	635
Tb7.NT.17	Tb927_07_v5.1	550116	550690	-	575	21	15	6	190
Tb927.7.2150	Tb927_07_v5.1	551107	556076	-	4970	2390	1802	588	4157
Tb927.7.2160	Tb927_07_v5.1	556306	559190	-	2885	158	114	44	581
Tb927.7.2170	Tb927_07_v5.1	559785	564281	-	4497	572	428	144	769
Tb927.7.2180	Tb927_07_v5.1;Tb927_07_v5.1	564631;564631	565985;566750	-;-	2120	626	414	212	1028
Tb927.7.2190	Tb927_07_v5.1	567798	568773	-	976	5	4	1	5
Tb927.7.2200	Tb927_07_v5.1	569781	570266	-	486	256	170	86	390
Tb927.7.2210	Tb927_07_v5.1	572049	572675	-	627	270	207	63	417
Tb927.7.2220	Tb927_07_v5.1	573084	575251	-	2168	605	460	145	2621
Tb927.7.2230	Tb927_07_v5.1	576041	577938	-	1898	363	209	154	784
Tb927.7.2240	Tb927_07_v5.1	578928	580848	-	1921	252	233	19	1227
Tb927.7.2250	Tb927_07_v5.1	581709	583968	-	2260	407	375	32	1043
Tb927.7.2260	Tb927_07_v5.1	584245	585581	-	1337	420	388	32	988
Tb927.7.2270	Tb927_07_v5.1	585533	587093	-	1561	86	42	44	89
Tb927.7.2280	Tb927_07_v5.1	587653	588782	-	1130	133	108	25	1151
Tb927.7.2290	Tb927_07_v5.1	589157	589840	-	684	316	306	10	665
Tb927.7.2300	Tb927_07_v5.1	589990	594412	-	4423	607	458	149	5878
Tb927.7.2310	Tb927_07_v5.1	594584	596060	-	1477	423	401	22	1129
Tb927.7.2320	Tb927_07_v5.1	596215	598474	-	2260	2080	1533	547	5428
Tb927.7.2330	Tb927_07_v5.1	599448	603835	-	4388	2282	1854	428	10775
Tb927.7.2340	Tb927_07_v5.1	603979	604624	-	646	3	0	3	3
Tb927.7.2350	Tb927_07_v5.1	604873	608652	-	3780	2158	1698	460	4977
Tb927.7.2360	Tb927_07_v5.1	609530	611000	-	1471	1071	745	326	1770
Tb927.7.2370	Tb927_07_v5.1	611224	611771	-	548	21	19	2	22
Tb927.7.2380	Tb927_07_v5.1	611904	612873	-	970	39	22	17	112
Tb927.7.2390	Tb927_07_v5.1	613600	616879	-	3280	661	581	80	1431
Tb927.7.2400	Tb927_07_v5.1	616922	618702	-	1781	357	319	38	1086
Tb927.7.2410	Tb927_07_v5.1	619122	621818	-	2697	1261	982	279	2229
Tb927.7.2420	Tb927_07_v5.1	622906	628228	-	5323	425	381	44	2179
Tb927.7.2440	Tb927_07_v5.1	628618	629656	-	1039	116	91	25	579
Tb927.7.2450	Tb927_07_v5.1	630506	632324	-	1819	623	407	216	687
Tb927.7.2460	Tb927_07_v5.1	632522	634195	-	1674	525	374	151	1348
Tb927.7.2470	Tb927_07_v5.1	634353	637148	-	2796	2526	1888	638	4567
Tb927.7.2480	Tb927_07_v5.1	637278	638718	-	1441	1117	645	472	2647
Tb927.7.2490	Tb927_07_v5.1	638932	641124	-	2193	307	224	83	643
Tb927.7.2500	Tb927_07_v5.1	642312	643915	-	1604	110	109	1	919
Tb927.7.2510	Tb927_07_v5.1	644887	646179	-	1293	1157	1020	137	1947
Tb927.7.2520	Tb927_07_v5.1	645954	647855	-	1902	873	778	95	4522
Tb927.7.2530	Tb927_07_v5.1	647986	649266	-	1281	504	373	131	886
Tb927.7.2540	Tb927_07_v5.1	650802	652001	-	1200	1996	1415	581	3458
Tb927.7.2550	Tb927_07_v5.1	652177	655148	-	2972	1033	845	188	1931
Tb927.7.2560	Tb927_07_v5.1	655397	659312	-	3916	1742	1184	558	5749
Tb927.7.2570	Tb927_07_v5.1	659551	662010	-	2460	447	305	142	496
Tb927.7.2580	Tb927_07_v5.1	661887	666232	-	4346	852	768	84	4233
Tb927.7.2590	Tb927_07_v5.1	666388	667515	-	1128	205	151	54	233
Tb927.7.2600	Tb927_07_v5.1	667410	668877	-	1468	168	97	71	191
Tb927.7.2610	Tb927_07_v5.1	669539	671059	-	1521	99	95	4	1194
Tb927.7.2620	Tb927_07_v5.1	671191	672493	-	1303	173	79	94	186
Tb927.7.2630	Tb927_07_v5.1	672562	675452	-	2891	1594	1141	453	2909
Tb927.7.2640	Tb927_07_v5.1	675664	678494	-	2831	1007	933	74	2299
Tb927.7.2650	Tb927_07_v5.1	678707	682525	-	3819	115	94	21	675
Tb927.7.2660	Tb927_07_v5.1	682738	689348	-	6611	2024	1466	558	6161
Tb927.7.2670	Tb927_07_v5.1	693074	694742	-	1669	546	483	63	2666
Tb927.7.2680	Tb927_07_v5.1	700738	703049	-	2312	558	482	76	866
Tb927.7.2690	Tb927_07_v5.1	703302	704217	-	916	617	477	140	972
Tb927.7.2700	Tb927_07_v5.1	705273	706499	-	1227	663	563	100	1200
Tb927.7.2710	Tb927_07_v5.1	706599	707786	-	1188	116	90	26	316
Tb927.7.2720	Tb927_07_v5.1	707927	709991	-	2065	654	415	239	1263
Tb927.7.2730	Tb927_07_v5.1	710233	711160	-	928	72	35	37	74
Tb927.7.2740	Tb927_07_v5.1	716953	717495	+	543	256	218	38	537
Tb927.7.2750	Tb927_07_v5.1	717696	719264	+	1569	686	351	335	973
Tb927.7.2760	Tb927_07_v5.1	719390	720280	+	891	681	587	94	1394
Tb927.7.2770	Tb927_07_v5.1	720531	722027	+	1497	237	137	100	295
Tb927.7.2780	Tb927_07_v5.1	722168	722857	+	690	235	173	62	447
Tb7.NT.24	Tb927_07_v5.1	723052	723437	+	386	590	504	86	938
Tb927.7.2790	Tb927_07_v5.1	723539	725906	+	2368	2245	1496	749	4841
Tb927.7.2800	Tb927_07_v5.1	726035	727530	+	1496	473	301	172	2168
Tb927.7.2810	Tb927_07_v5.1	727621	728733	+	1113	540	489	51	1698
Tb927.7.2820	Tb927_07_v5.1	728916	729625	+	710	463	409	54	1045
Tb927.7.2830	Tb927_07_v5.1	729826	730534	+	709	463	429	34	1199
Tb927.7.2840	Tb927_07_v5.1	730735	731380	+	646	544	476	68	1405
Tb927.7.2850	Tb927_07_v5.1	731645	732353	+	709	680	603	77	1433
Tb927.7.2860	Tb927_07_v5.1	732554	733199	+	646	729	632	97	1789
Tb927.7.2870	Tb927_07_v5.1	733464	734172	+	709	640	571	69	1566
Tb927.7.2880	Tb927_07_v5.1	734373	735017	+	645	460	407	53	991
Tb927.7.2890	Tb927_07_v5.1	735282	735927	+	646	545	464	81	1271
Tb927.7.2900	Tb927_07_v5.1	736192	736900	+	709	509	451	58	1292
Tb927.7.2910	Tb927_07_v5.1	737101	737745	+	645	524	471	53	1289
Tb927.7.2920	Tb927_07_v5.1	738010	738653	+	644	1036	817	219	3709
Tb927.7.2930	Tb927_07_v5.1	738918	739562	+	645	747	649	98	1900
Tb927.7.2940	Tb927_07_v5.1	739827	740536	+	710	490	424	66	1098
Tb927.7.2950	Tb927_07_v5.1	740633	742648	+	2016	1417	893	524	2187
Tb927.7.2960	Tb927_07_v5.1	742798	744434	+	1637	878	652	226	1197
Tb927.7.2970	Tb927_07_v5.1	744572	748306	+	3735	2291	1729	562	5277
Tb927.7.2980	Tb927_07_v5.1	748485	749775	+	1291	860	615	245	1074
Tb927.7.2985	Tb927_07_v5.1	749923	750442	+	520	84	82	2	93
Tb927.7.2990	Tb927_07_v5.1	750589	751721	+	1133	535	407	128	691
Tb927.7.3000	Tb927_07_v5.1	752112	757423	+	5312	4340	2919	1421	10122
Tb927.7.3010	Tb927_07_v5.1	758654	761041	+	2388	1894	1126	768	5738
Tb927.7.3020	Tb927_07_v5.1	761162	762449	+	1288	679	483	196	1080
Tb927.7.3025	Tb927_07_v5.1	762592	763074	+	483	50	43	7	51
Tb927.7.3030	Tb927_07_v5.1	763255	764387	+	1133	482	387	95	652
Tb927.7.3040	Tb927_07_v5.1	764778	769682	+	4905	1326	1038	288	3378
Tb927.7.3050	Tb927_07_v5.1	769986	773585	+	3600	591	461	130	1961
Tb927.7.3060	Tb927_07_v5.1	774253	775953	+	1701	1155	753	402	2188
Tb927.7.3070	Tb927_07_v5.1	776187	778457	+	2271	1279	963	316	4016
Tb927.7.3080	Tb927_07_v5.1	779136	780456	+	1321	375	352	23	1658
Tb927.7.3090	Tb927_07_v5.1	780873	785861	+	4989	811	582	229	2993
Tb927.7.3100	Tb927_07_v5.1	786181	788016	+	1836	940	644	296	1700
Tb927.7.3110	Tb927_07_v5.1	788382	790851	+	2470	756	696	60	2712
Tb927.7.3120	Tb927_07_v5.1	792131	792966	+	836	229	196	33	485
Tb927.7.3130	Tb927_07_v5.1	793254	796484	+	3231	1772	1318	454	2959
Tb927.7.3140	Tb927_07_v5.1	797039	798279	+	1241	1144	708	436	4055
Tb927.7.3150	Tb927_07_v5.1	798406	801785	+	3380	1475	1130	345	3010
