# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003737.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003737.1.all.q/CM03_D_LG_S3/counts.txt" "/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup.bam" "/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup_F_plus_R.bam" "/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup_WO.bam" "/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup.bam	/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup_F_plus_R.bam	/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup_WO.bam	/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted.bam
Tb927.9.10850	Tb927_09_v5.1	1711275	1711809	-	535	0	0	0	0
Tb927.9.10870	Tb927_09_v5.1	1711918	1714235	-	2318	5728	2328	3400	13403
Tb927.9.10880	Tb927_09_v5.1	1714596	1715752	-	1157	0	0	0	0
Tb927.9.10890	Tb927_09_v5.1	1715932	1717296	-	1365	2	2	0	2
Tb927.9.10920	Tb927_09_v5.1	1717655	1721240	-	3586	229	225	4	770
Tb927.9.10930	Tb927_09_v5.1	1721530	1722131	-	602	48	48	0	1652
Tb927.9.10950	Tb927_09_v5.1	1722355	1726450	-	4096	1476	949	527	7850
Tb927.9.10960	Tb927_09_v5.1	1726615	1729049	-	2435	683	367	316	4828
Tb927.9.10970	Tb927_09_v5.1	1729367	1731211	-	1845	1295	915	380	3260
Tb927.9.11000	Tb927_09_v5.1	1732299	1733423	-	1125	354	261	93	3749
Tb927.9.11030	Tb927_09_v5.1	1734278	1737938	-	3661	1435	991	444	4080
Tb927.9.11040	Tb927_09_v5.1	1738096	1739210	-	1115	1759	377	1382	4133
Tb927.9.11050	Tb927_09_v5.1	1739704	1744915	-	5212	1314	1062	252	4877
Tb927.9.11070	Tb927_09_v5.1	1744356	1747960	-	3605	1361	791	570	2160
Tb927.9.11100	Tb927_09_v5.1	1749790	1752529	-	2740	574	400	174	1249
Tb927.9.11110	Tb927_09_v5.1	1752836	1760159	-	7324	1095	1001	94	9483
Tb927.9.11120	Tb927_09_v5.1	1761126	1763060	-	1935	1985	1177	808	6563
Tb927.9.11130	Tb927_09_v5.1	1763333	1764141	-	809	1	1	0	7
Tb927.9.11140	Tb927_09_v5.1	1764245	1765823	-	1579	1	0	1	1
Tb927.9.11150	Tb927_09_v5.1	1766123	1768580	-	2458	939	578	361	3157
Tb927.9.11220	Tb927_09_v5.1	1774914	1776146	+	1233	2090	595	1495	3579
Tb927.9.11230	Tb927_09_v5.1	1776254	1776717	+	464	994	307	687	1541
Tb927.9.11250	Tb927_09_v5.1	1776931	1778274	+	1344	1841	1018	823	4834
Tb927.9.11260	Tb927_09_v5.1	1778540	1779734	+	1195	1726	401	1325	2467
Tb927.9.11270	Tb927_09_v5.1	1779854	1781863	+	2010	33	32	1	63
Tb927.9.11300	Tb927_09_v5.1	1781967	1783225	+	1259	12	12	0	149
Tb927.9.11330	Tb927_09_v5.1	1783333	1784437	+	1105	754	498	256	3773
Tb927.9.11350	Tb927_09_v5.1	1785350	1786375	+	1026	1027	601	426	2419
Tb927.9.11360	Tb927_09_v5.1	1786627	1787700	+	1074	0	0	0	0
Tb927.9.11370	Tb927_09_v5.1	1787858	1788336	+	479	1	0	1	1
Tb927.9.11380	Tb927_09_v5.1	1788549	1789048	+	500	0	0	0	0
Tb927.9.11410	Tb927_09_v5.1	1789160	1789594	+	435	0	0	0	0
Tb927.9.11470	Tb927_09_v5.1	1789815	1790322	+	508	0	0	0	0
Tb927.9.11480	Tb927_09_v5.1	1790429	1792544	+	2116	1251	571	680	1993
Tb927.9.11490	Tb927_09_v5.1	1792674	1793181	+	508	0	0	0	0
Tb927.9.11500	Tb927_09_v5.1	1794088	1796577	+	2490	3675	1048	2627	6587
Tb927.9.11510	Tb927_09_v5.1	1796728	1798022	+	1295	2281	737	1544	5006
Tb927.9.11520	Tb927_09_v5.1	1798207	1800603	+	2397	2342	1031	1311	6879
Tb927.9.11540	Tb927_09_v5.1	1800501	1803164	+	2664	715	656	59	3286
Tb927.9.11560	Tb927_09_v5.1	1802729	1804384	+	1656	63	62	1	1298
Tb927.9.11580	Tb927_09_v5.1	1804567	1805897	+	1331	1348	853	495	3963
Tb927.9.11600	Tb927_09_v5.1	1807957	1809659	+	1703	1535	938	597	4836
Tb927.9.11640	Tb927_09_v5.1	1809877	1812265	+	2389	1982	870	1112	5070
Tb927.9.11660	Tb927_09_v5.1	1812417	1813839	+	1423	1424	893	531	3500
Tb927.9.11670	Tb927_09_v5.1	1813998	1817828	+	3831	3089	1547	1542	10451
Tb927.9.11690	Tb927_09_v5.1	1818163	1820920	+	2758	3030	1643	1387	8065
Tb927.9.11700	Tb927_09_v5.1	1821106	1821914	+	809	271	63	208	321
Tb927.9.11720	Tb927_09_v5.1	1822053	1823828	+	1776	675	532	143	1560
Tb927.9.11740	Tb927_09_v5.1	1824849	1825719	+	871	12	6	6	12
Tb927.9.11750	Tb927_09_v5.1	1826052	1827024	+	973	710	479	231	1166
Tb927.9.11760	Tb927_09_v5.1;Tb927_09_v5.1	1827379;1828355	1829631;1829631	+;+	2253	7752	2899	4853	24964
Tb927.9.11770	Tb927_09_v5.1	1829896	1832992	+	3097	822	636	186	2851
Tb927.9.11790	Tb927_09_v5.1	1834676	1836545	+	1870	1730	1082	648	6232
Tb927.9.11800	Tb927_09_v5.1	1836698	1838660	+	1963	2628	1392	1236	7048
Tb927.9.11810	Tb927_09_v5.1	1838810	1840567	+	1758	2891	860	2031	4188
Tb927.9.11820	Tb927_09_v5.1	1841215	1842917	+	1703	1240	854	386	6802
Tb927.9.11830	Tb927_09_v5.1	1843058	1846037	+	2980	3085	1270	1815	9607
Tb927.9.11840	Tb927_09_v5.1	1846191	1847569	+	1379	249	218	31	1142
Tb927.9.11850	Tb927_09_v5.1	1847726	1853097	+	5372	716	610	106	2832
Tb927.9.11870	Tb927_09_v5.1	1852513	1854400	+	1888	1267	807	460	3165
Tb927.9.11880	Tb927_09_v5.1	1854535	1856215	+	1681	226	143	83	281
Tb927.9.11890	Tb927_09_v5.1	1856378	1859579	+	3202	863	620	243	2159
Tb927.9.11900	Tb927_09_v5.1	1859923	1861710	+	1788	821	486	335	2899
Tb927.9.11910	Tb927_09_v5.1	1861886	1863342	+	1457	28	26	2	1165
Tb927.9.11930	Tb927_09_v5.1	1863758	1866733	+	2976	2059	884	1175	5435
Tb927.9.11940	Tb927_09_v5.1	1866937	1867767	+	831	1348	674	674	2537
Tb927.9.11960	Tb927_09_v5.1	1868559	1870648	+	2090	2787	1473	1314	6628
Tb927.9.11970	Tb927_09_v5.1	1870821	1872527	+	1707	1477	692	785	4586
Tb927_09_v4.snoRNA.0056	Tb927_09_v5.1	1873155	1873298	+	144	0	0	0	0
Tb927_09_v4.snoRNA.0009	Tb927_09_v5.1	1873647	1873733	+	87	323	197	126	753
Tb927.9.12000	Tb927_09_v5.1	1874016	1876276	+	2261	747	638	109	2254
Tb927.9.12030	Tb927_09_v5.1;Tb927_09_v5.1	1876391;1876404	1877241;1877241	+;+	851	168	165	3	1229
Tb927.9.12040	Tb927_09_v5.1	1877337	1879101	+	1765	3083	1574	1509	16147
Tb927.9.12070	Tb927_09_v5.1	1880009	1883400	+	3392	1286	994	292	8599
Tb927.9.12080	Tb927_09_v5.1	1884573	1885498	+	926	712	261	451	1381
Tb927.9.12090	Tb927_09_v5.1	1885865	1892456	+	6592	7554	2930	4624	19381
Tb927.9.12100	Tb927_09_v5.1	1892569	1893986	+	1418	3294	1211	2083	5648
Tb927.9.12110	Tb927_09_v5.1	1894196	1895814	+	1619	1157	651	506	2378
Tb927.9.12140	Tb927_09_v5.1	1896803	1898535	+	1733	7551	3275	4276	26370
Tb927.9.12150	Tb927_09_v5.1	1898648	1899764	+	1117	10	10	0	156
Tb927.9.12160	Tb927_09_v5.1	1899989	1902027	+	2039	383	201	182	1990
Tb927.9.12170	Tb927_09_v5.1	1902175	1907585	+	5411	1960	1233	727	5938
Tb927.9.12200	Tb927_09_v5.1	1907542	1908277	+	736	29	23	6	1022
Tb927.9.12240	Tb927_09_v5.1	1908444	1909096	+	653	199	165	34	1244
Tb927.9.12280	Tb927_09_v5.1	1909327	1910158	+	832	477	91	386	517
Tb927.9.12290	Tb927_09_v5.1	1910292	1911494	+	1203	1974	713	1261	5814
Tb927.9.12300	Tb927_09_v5.1	1911763	1913340	+	1578	1195	611	584	5970
Tb927.9.12310	Tb927_09_v5.1	1913479	1916351	+	2873	1954	886	1068	6509
Tb09_snoRNA_0079	Tb927_09_v5.1	1916734	1916799	+	66	191	2	189	196
Tb927_09_v4.snoRNA.0033	Tb927_09_v5.1	1916854	1917027	+	174	189	157	32	343
Tb927_09_v4.snoRNA.0043	Tb927_09_v5.1	1916974	1917027	+	54	0	0	0	0
Tb927_09_v4.snoRNA.0030	Tb927_09_v5.1	1917060	1917113	+	54	0	0	0	0
Tb927_09_v4.snoRNA.0006	Tb927_09_v5.1	1917061	1917342	+	282	70	56	14	177
Tb09_snoRNA_0084	Tb927_09_v5.1	1917396	1917461	+	66	13	8	5	13
Tb927_09_v4.snoRNA.0034	Tb927_09_v5.1	1917516	1917689	+	174	162	150	12	217
Tb927_09_v4.snoRNA.0044	Tb927_09_v5.1	1917636	1917689	+	54	0	0	0	0
Tb927_09_v4.snoRNA.0031	Tb927_09_v5.1	1917722	1917775	+	54	0	0	0	0
Tb927_09_v4.snoRNA.0007	Tb927_09_v5.1	1917723	1918004	+	282	69	57	12	182
Tb09_snoRNA_0089	Tb927_09_v5.1	1918058	1918123	+	66	23	19	4	27
Tb927_09_v4.snoRNA.0035	Tb927_09_v5.1	1918178	1918351	+	174	162	155	7	222
Tb927_09_v4.snoRNA.0045	Tb927_09_v5.1	1918298	1918351	+	54	0	0	0	0
Tb927_09_v4.snoRNA.0032	Tb927_09_v5.1	1918384	1918437	+	54	23	22	1	23
Tb927_09_v4.snoRNA.0008	Tb927_09_v5.1	1918613	1918666	+	54	60	60	0	106
Tb927.9.12320	Tb927_09_v5.1	1918837	1920844	+	2008	838	757	81	3371
Tb927.9.12330	Tb927_09_v5.1	1921432	1922121	+	690	39	38	1	1169
Tb9.NT.68	Tb927_09_v5.1	1922507	1922793	+	287	0	0	0	0
Tb927.9.12340	Tb927_09_v5.1	1922908	1925148	+	2241	1042	861	181	3843
Tb927.9.12360	Tb927_09_v5.1	1927308	1931944	+	4637	1994	1485	509	7050
Tb927.9.12380	Tb927_09_v5.1	1933502	1935113	+	1612	1494	698	796	4857
Tb927.9.12390	Tb927_09_v5.1	1935540	1936309	+	770	634	569	65	3178
Tb927.9.12400	Tb927_09_v5.1	1937325	1943793	+	6469	6048	3052	2996	20391
Tb927.9.12430	Tb927_09_v5.1	1943590	1944331	+	742	1	0	1	1
Tb927.9.12440	Tb927_09_v5.1	1944831	1945665	+	835	511	442	69	2810
Tb927.9.12450	Tb927_09_v5.1	1945859	1947261	+	1403	159	155	4	2011
Tb927.9.12470	Tb927_09_v5.1	1948033	1949170	+	1138	765	601	164	5375
Tb927.9.12480	Tb927_09_v5.1	1949981	1950495	+	515	0	0	0	0
Tb927.9.12490	Tb927_09_v5.1	1951118	1955671	+	4554	2677	1775	902	8480
Tb927.9.12500	Tb927_09_v5.1	1956324	1958737	+	2414	236	179	57	5034
Tb927.9.12510	Tb927_09_v5.1	1959267	1961544	+	2278	1208	890	318	6220
Tb927.9.12530	Tb927_09_v5.1	1964736	1966501	+	1766	2034	888	1146	3266
Tb927_09_v4.snoRNA.0048	Tb927_09_v5.1	1966976	1967044	+	69	248	43	205	255
Tb927_09_v4.snoRNA.0089	Tb927_09_v5.1	1967187	1967318	+	132	58	0	58	58
Tb927_09_v4.snoRNA.0017	Tb927_09_v5.1	1967311	1967565	+	255	196	107	89	218
Tb927_09_v4.snoRNA.0115	Tb927_09_v5.1	1967517	1967579	+	63	3	2	1	3
Tb927_09_v4.snoRNA.0001	Tb927_09_v5.1	1968053	1968055	+	3	125	97	28	374
Tb927.9.12550	Tb927_09_v5.1	1968080	1970284	+	2205	1218	804	414	1917
Tb927_09_v4.snoRNA.0095	Tb927_09_v5.1	1970479	1970481	+	3	13	0	13	14
Tb927_09_v4.snoRNA.0049	Tb927_09_v5.1	1970594	1970620	+	27	106	102	4	384
Tb927_09_v4.snoRNA.0091	Tb927_09_v5.1	1970763	1970894	+	132	28	0	28	28
Tb927_09_v4.snoRNA.0018	Tb927_09_v5.1	1970887	1971141	+	255	107	81	26	941
Tb927_09_v4.snoRNA.0120	Tb927_09_v5.1	1971093	1971317	+	225	293	248	45	420
Tb927_09_v4.snoRNA.0002	Tb927_09_v5.1	1971629	1971631	+	3	56	47	9	78
Tb927.9.12570	Tb927_09_v5.1	1971656	1973862	+	2207	1277	872	405	1958
Tb927_09_v4.snoRNA.0096	Tb927_09_v5.1	1974057	1974059	+	3	13	2	11	14
Tb927_09_v4.snoRNA.0050	Tb927_09_v5.1	1974172	1974198	+	27	62	57	5	116
Tb927_09_v4.snoRNA.0090	Tb927_09_v5.1	1974341	1974472	+	132	42	2	40	42
Tb927_09_v4.snoRNA.0019	Tb927_09_v5.1	1974465	1974719	+	255	185	106	79	212
Tb927_09_v4.snoRNA.0116	Tb927_09_v5.1	1974671	1974733	+	63	1	0	1	1
Tb927_09_v4.snoRNA.0003	Tb927_09_v5.1	1975207	1975209	+	3	80	80	0	173
Tb927.9.12590	Tb927_09_v5.1	1975234	1977375	+	2142	1696	911	785	2704
Tb927_09_v4.snoRNA.0097	Tb927_09_v5.1	1977632	1977634	+	3	15	1	14	15
Tb927_09_v4.snoRNA.0051	Tb927_09_v5.1	1977705	1977773	+	69	1	0	1	1
Tb927_09_v4.snoRNA.0092	Tb927_09_v5.1	1977916	1978047	+	132	28	0	28	29
Tb927_09_v4.snoRNA.0020	Tb927_09_v5.1	1978040	1978294	+	255	227	96	131	257
Tb927_09_v4.snoRNA.0117	Tb927_09_v5.1	1978246	1978308	+	63	11	7	4	12
Tb927_09_v4.snoRNA.0004	Tb927_09_v5.1	1978782	1978784	+	3	25	23	2	28
Tb927.9.12610	Tb927_09_v5.1	1978809	1981016	+	2208	1809	910	899	2868
Tb927_09_v4.snoRNA.0098	Tb927_09_v5.1	1981211	1981213	+	3	10	1	9	10
Tb927_09_v4.snoRNA.0052	Tb927_09_v5.1	1981284	1981352	+	69	227	218	9	877
Tb927_09_v4.snoRNA.0093	Tb927_09_v5.1	1981495	1981626	+	132	70	1	69	71
Tb927_09_v4.snoRNA.0021	Tb927_09_v5.1	1981619	1981873	+	255	241	62	179	256
Tb927_09_v4.snoRNA.0118	Tb927_09_v5.1	1981825	1981887	+	63	16	7	9	20
Tb927_09_v4.snoRNA.0005	Tb927_09_v5.1	1982361	1982363	+	3	23	22	1	26
Tb927.9.12630	Tb927_09_v5.1	1982388	1984534	+	2147	1726	861	865	3086
Tb927_09_v4.snoRNA.0099	Tb927_09_v5.1	1984791	1984793	+	3	12	2	10	12
Tb927_09_v4.snoRNA.0053	Tb927_09_v5.1	1984864	1984932	+	69	5	3	2	5
Tb927_09_v4.snoRNA.0094	Tb927_09_v5.1	1985075	1985206	+	132	21	0	21	21
Tb927_09_v4.snoRNA.0022	Tb927_09_v5.1	1985199	1985453	+	255	150	55	95	158
Tb927_09_v4.snoRNA.0119	Tb927_09_v5.1	1985405	1985467	+	63	17	10	7	22
Tb927.9.12650	Tb927_09_v5.1	1985928	1989798	+	3871	1192	1128	64	5864
Tb927.9.12670	Tb927_09_v5.1	1990453	1991828	+	1376	256	252	4	1093
Tb927.9.12680	Tb927_09_v5.1	1992289	1993133	+	845	303	267	36	1663
Tb927.9.12690	Tb927_09_v5.1	1994000	1995699	+	1700	1038	565	473	1866
Tb927.9.12700	Tb927_09_v5.1	1995851	1998622	+	2772	1903	1259	644	8246
Tb927.9.12710	Tb927_09_v5.1	1998809	2000230	+	1422	2343	899	1444	5455
Tb927.9.12720	Tb927_09_v5.1	2000348	2001585	+	1238	1403	619	784	4918
Tb927.9.12730	Tb927_09_v5.1	2001905	2004397	+	2493	2848	998	1850	14447
Tb927.9.12740	Tb927_09_v5.1	2004552	2005934	+	1383	174	162	12	827
Tb927.9.12750	Tb927_09_v5.1	2006930	2009218	+	2289	4409	1636	2773	12438
Tb927.9.12770	Tb927_09_v5.1	2009349	2012586	+	3238	3454	1501	1953	5678
Tb927.9.12780	Tb927_09_v5.1	2012907	2016413	+	3507	1	0	1	1
Tb927.9.12790	Tb927_09_v5.1	2016615	2020712	+	4098	1572	1107	465	4986
Tb927.9.12800	Tb927_09_v5.1	2020950	2024574	+	3625	3964	1241	2723	8293
Tb927.9.12810	Tb927_09_v5.1	2024709	2026509	+	1801	1147	553	594	3012
Tb927.9.12820	Tb927_09_v5.1	2026639	2027080	+	442	78	5	73	265
Tb927.9.12830	Tb927_09_v5.1	2027757	2030892	+	3136	1468	882	586	3990
Tb927.9.12850	Tb927_09_v5.1	2030994	2033014	+	2021	225	222	3	2071
Tb927.9.12870	Tb927_09_v5.1	2033136	2033567	+	432	134	131	3	445
Tb927.9.12880	Tb927_09_v5.1	2033843	2035951	+	2109	3666	1286	2380	9530
Tb927.9.12890	Tb927_09_v5.1	2036276	2036995	+	720	1782	825	957	9004
Tb927.9.12900	Tb927_09_v5.1	2037158	2039545	+	2388	2495	943	1552	13375
Tb927.9.12930	Tb927_09_v5.1	2039690	2041263	+	1574	608	288	320	2413
Tb927.9.12950	Tb927_09_v5.1	2041383	2042667	+	1285	2533	1176	1357	6592
Tb927.9.12960	Tb927_09_v5.1	2043188	2045344	+	2157	1133	740	393	7030
Tb927.9.12980	Tb927_09_v5.1	2047239	2049473	+	2235	1102	997	105	5723
Tb927.9.12990	Tb927_09_v5.1	2049600	2054142	+	4543	331	317	14	1575
Tb927.9.13010	Tb927_09_v5.1	2054247	2056408	+	2162	3351	1312	2039	12822
Tb927.9.13020	Tb927_09_v5.1	2056533	2057694	+	1162	1414	467	947	2672
Tb927.9.13030	Tb927_09_v5.1	2058733	2060155	+	1423	414	350	64	1937
Tb927.9.13040	Tb927_09_v5.1;Tb927_09_v5.1	2060301;2060414	2061638;2061638	+;+	1338	357	350	7	5127
Tb927.9.13050	Tb927_09_v5.1	2062454	2066196	+	3743	9	6	3	71
Tb927.9.13060	Tb927_09_v5.1	2066571	2068788	+	2218	903	288	615	2211
Tb927.9.13070	Tb927_09_v5.1	2068993	2070602	+	1610	0	0	0	0
Tb927.9.13100	Tb927_09_v5.1	2070780	2071388	+	609	0	0	0	0
Tb927.9.13110	Tb927_09_v5.1	2071649	2073482	+	1834	993	878	115	4987
Tb927.9.13120	Tb927_09_v5.1	2073942	2074700	+	759	249	235	14	870
Tb927.9.13130	Tb927_09_v5.1	2074994	2077190	+	2197	4484	1559	2925	11646
Tb927.9.13140	Tb927_09_v5.1	2077308	2079404	+	2097	2532	919	1613	5655
Tb927.9.13150	Tb927_09_v5.1	2079636	2080698	+	1063	84	78	6	250
Tb927.9.13160	Tb927_09_v5.1	2080924	2085956	-	5033	2377	813	1564	7628
Tb927.9.13200	Tb927_09_v5.1	2086079	2087036	-	958	327	198	129	1682
Tb09_tRNA_Gly_1	Tb927_09_v5.1	2087749	2087819	+	71	0	0	0	0
Tb927.9.13225	Tb927_09_v5.1	2088549	2089040	-	492	486	213	273	715
Tb927.9.13240	Tb927_09_v5.1	2089464	2091069	-	1606	351	231	120	929
Tb927.9.13250	Tb927_09_v5.1	2091351	2093444	-	2094	3151	979	2172	5433
Tb927.9.13280	Tb927_09_v5.1	2093883	2095203	-	1321	138	134	4	3388
Tb927.9.13290	Tb927_09_v5.1	2095334	2096438	-	1105	247	220	27	1724
Tb927.9.13300	Tb927_09_v5.1;Tb927_09_v5.1	2096609;2096609	2098298;2098324	-;-	1716	2227	1356	871	7368
Tb927.9.13310	Tb927_09_v5.1	2098416	2099090	-	675	496	282	214	1414
Tb927.9.13320	Tb927_09_v5.1	2099555	2101181	-	1627	3158	792	2366	8271
Tb927.9.13330	Tb927_09_v5.1	2101378	2105304	-	3927	1766	1611	155	12383
Tb927.9.13340	Tb927_09_v5.1	2105417	2107149	-	1733	2078	1564	514	5888
Tb927.9.13350	Tb927_09_v5.1	2107291	2108495	-	1205	2402	1412	990	8728
Tb927.9.13360	Tb927_09_v5.1	2111432	2117516	-	6085	4898	2137	2761	11958
Tb927.9.13380	Tb927_09_v5.1	2117935	2121171	-	3237	2965	1064	1901	6030
Tb927.9.13430	Tb927_09_v5.1	2123458	2127309	-	3852	801	612	189	2125
Tb927.9.13440	Tb927_09_v5.1	2128239	2133162	-	4924	6724	3677	3047	18919
Tb927.9.13460	Tb927_09_v5.1	2133499	2134102	-	604	968	853	115	6930
Tb927.9.13470	Tb927_09_v5.1	2134412	2136935	-	2524	956	422	534	3417
Tb927.9.13480	Tb927_09_v5.1	2136949	2137891	-	943	436	299	137	1143
Tb927.9.13490	Tb927_09_v5.1	2137982	2140385	-	2404	2128	1699	429	10298
Tb927.9.13510	Tb927_09_v5.1	2141810	2144118	-	2309	1512	836	676	4763
Tb927.9.13520	Tb927_09_v5.1	2144466	2148056	-	3591	1701	1125	576	6597
Tb927.9.13530	Tb927_09_v5.1	2148463	2149111	-	649	1283	245	1038	1602
Tb927.9.13540	Tb927_09_v5.1	2149221	2150519	-	1299	758	643	115	6474
Tb927.9.13570	Tb927_09_v5.1	2150876	2153891	-	3016	3418	1534	1884	11214
Tb927.9.13580	Tb927_09_v5.1	2154061	2155969	-	1909	2050	799	1251	3364
Tb927.9.13610	Tb927_09_v5.1	2157606	2162559	-	4954	5352	2044	3308	14738
Tb927.9.13620	Tb927_09_v5.1	2163087	2169481	-	6395	1621	919	702	4071
Tb927.9.13630	Tb927_09_v5.1	2169593	2171024	-	1432	403	367	36	1557
Tb927.9.13650	Tb927_09_v5.1	2171161	2171934	-	774	41	38	3	61
Tb927.9.13655	Tb927_09_v5.1	2172037	2172692	-	656	70	69	1	96
Tb927.9.13680	Tb927_09_v5.1	2172884	2173503	-	620	98	93	5	147
Tb927.9.13710	Tb927_09_v5.1	2173610	2174261	-	652	127	119	8	183
Tb927.9.13740	Tb927_09_v5.1	2174400	2175549	-	1150	239	227	12	519
Tb927.9.13770	Tb927_09_v5.1	2175948	2176885	-	938	1094	735	359	3310
Tb927.9.13780	Tb927_09_v5.1	2177114	2178147	-	1034	741	176	565	819
Tb927.9.13785	Tb927_09_v5.1	2178426	2178842	-	417	17	17	0	472
Tb927.9.13795	Tb927_09_v5.1	2178980	2179435	-	456	0	0	0	0
Tb927.9.13820	Tb927_09_v5.1	2179563	2180008	-	446	0	0	0	0
Tb927.9.13860	Tb927_09_v5.1	2180146	2180601	-	456	0	0	0	0
Tb927.9.13920	Tb927_09_v5.1	2180729	2181174	-	446	1	0	1	1
Tb927.9.13970	Tb927_09_v5.1	2181318	2183168	-	1851	3618	1894	1724	11599
Tb927.9.13990	Tb927_09_v5.1	2183493	2188127	-	4635	2409	1724	685	9232
Tb927.9.14000	Tb927_09_v5.1	2188849	2189424	-	576	1	0	1	1
Tb927.9.14030	Tb927_09_v5.1	2189565	2192072	-	2508	32	31	1	1312
Tb927.9.14040	Tb927_09_v5.1	2192195	2193803	-	1609	1341	1006	335	10203
Tb927.9.14050	Tb927_09_v5.1	2194108	2195895	-	1788	3554	1636	1918	8157
Tb927.9.14070	Tb927_09_v5.1	2196053	2198041	-	1989	1172	1095	77	7774
Tb927.9.14080	Tb927_09_v5.1	2199227	2200361	-	1135	2123	1483	640	5481
Tb927.9.14100	Tb927_09_v5.1	2201119	2202484	-	1366	129	128	1	2586
Tb927.9.14120	Tb927_09_v5.1	2203304	2206977	-	3674	477	457	20	4621
Tb927.9.14130	Tb927_09_v5.1	2206848	2209732	-	2885	3969	1475	2494	14040
Tb927.9.14140	Tb927_09_v5.1	2210215	2211629	-	1415	1133	758	375	3428
Tb927.9.14160	Tb927_09_v5.1	2213001	2214071	-	1071	161	158	3	1584
Tb927.9.14170	Tb927_09_v5.1	2213919	2216587	-	2669	2825	1370	1455	6221
Tb927.9.14180	Tb927_09_v5.1	2216718	2218113	-	1396	479	474	5	4311
Tb927.9.14190	Tb927_09_v5.1	2218114	2222806	-	4693	4424	2602	1822	14930
Tb927.9.14200	Tb927_09_v5.1	2223485	2224753	-	1269	0	0	0	0
Tb927.9.14220	Tb927_09_v5.1	2224877	2227230	-	2354	2291	1310	981	6648
Tb927.9.14230	Tb927_09_v5.1	2228300	2229020	-	721	879	432	447	1508
Tb927.9.14240	Tb927_09_v5.1	2229309	2232047	-	2739	122	113	9	207
Tb927.9.14260	Tb927_09_v5.1	2232163	2235196	-	3034	3549	944	2605	6992
Tb927.9.14280	Tb927_09_v5.1	2235925	2241247	-	5323	3525	1268	2257	6919
Tb927.9.14290	Tb927_09_v5.1	2241378	2243075	-	1698	1216	944	272	5184
Tb927.9.14300	Tb927_09_v5.1	2243206	2245373	-	2168	251	244	7	1634
Tb927.9.14330	Tb927_09_v5.1	2245479	2248178	-	2700	1356	956	400	5585
Tb927.9.14370	Tb927_09_v5.1	2248319	2248894	-	576	0	0	0	0
Tb927.9.14400	Tb927_09_v5.1	2249998	2251188	-	1191	594	100	494	1289
Tb927.9.14410	Tb927_09_v5.1	2251391	2252619	-	1229	131	114	17	320
Tb927.9.14420	Tb927_09_v5.1	2252786	2254356	-	1571	1601	757	844	4787
Tb927.9.14430	Tb927_09_v5.1	2254610	2256084	-	1475	1588	710	878	2650
Tb927.9.14440	Tb927_09_v5.1	2256229	2257316	-	1088	4343	1512	2831	10031
Tb927.9.14470	Tb927_09_v5.1	2257416	2261007	-	3592	6104	2287	3817	15028
Tb927.9.14480	Tb927_09_v5.1	2261144	2262499	-	1356	175	138	37	206
Tb927.9.14530	Tb927_09_v5.1	2267369	2268361	+	993	469	400	69	1280
Tb927.9.14540	Tb927_09_v5.1	2268388	2271812	+	3425	5223	2822	2401	12841
Tb927.9.14570	Tb927_09_v5.1	2276553	2278426	+	1874	5164	1104	4060	15530
Tb927.9.14600	Tb927_09_v5.1	2282953	2285376	+	2424	2142	559	1583	3003
Tb927.9.14630	Tb927_09_v5.1	2289123	2289248	+	126	118	114	4	257
Tb927.9.14650	Tb927_09_v5.1	2289698	2293048	+	3351	4844	2602	2242	10980
Tb927.9.14660	Tb927_09_v5.1	2293002	2295119	+	2118	1347	590	757	3340
Tb927.9.14670	Tb927_09_v5.1	2295529	2295546	+	18	107	77	30	155
Tb927.9.14680	Tb927_09_v5.1	2296878	2297021	+	144	491	410	81	684
Tb927.9.14690	Tb927_09_v5.1	2298261	2298404	+	144	742	634	108	1079
Tb927.9.14700	Tb927_09_v5.1	2299638	2299781	+	144	841	744	97	1424
Tb927.9.14710	Tb927_09_v5.1	2300996	2301427	+	432	759	651	108	1313
Tb927.9.14720	Tb927_09_v5.1	2302442	2302585	+	144	887	763	124	2081
Tb927.9.14730	Tb927_09_v5.1	2303847	2303990	+	144	779	655	124	1148
Tb927.9.14740	Tb927_09_v5.1	2305255	2305398	+	144	678	569	109	1014
Tb927.9.14750	Tb927_09_v5.1	2306617	2306760	+	144	817	733	84	1458
Tb927.9.14760	Tb927_09_v5.1	2307981	2308124	+	144	696	593	103	1053
Tb927.9.14770	Tb927_09_v5.1	2309349	2309492	+	144	760	666	94	1236
